stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.24,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,21.21,25.83,0,0,70.97,0,0,0,12.75,0,0,0,0,0,0,0,0
 10-12,7.27,0,64.85,0,13.94,0,0,0,0,0,0,6.84,0,0,0,0,0,0,0,0,0,0,195.69,54.94,0,0,343.46,0,0,0,72.89,0,11.95,0,0,0,0,0,0
 14-21,0,0,1.92,46.31,6.58,23.68,0,0.95,0,0,0,0,0,0,0,0,0,0,9.93,0,0,119.43,70.65,11.8,2.77,0.81,8.59,0,0,91.6,1.28,549.18,619.25,11.92,0,0,0,0,0
 24-34,0,0,0,17,1.31,16.35,48.95,13.35,11.68,3.22,0,0,1.94,0,0,0,0,0,70.56,0,0,144.1,121.34,7.11,2.24,8.51,0,0,3.89,0,0,536.89,180.34,24.49,0,0,4.91,0,0
 36-46,0,0,0,4.32,1.02,8.35,85.47,4.02,3.18,1.98,0.66,0,1.05,0,0,0,0,0,107.32,0,2.09,78.05,87.13,2.02,1.6,4.72,0,0,0,0,0,248.5,9.14,9.48,0,0,10.63,0,0
 48-58,0,0,0,8.27,0,11.55,31.28,2.4,4.23,4.71,0,0,0.51,0,0,0,0,0,170.24,0.44,2.88,60.57,69.09,0,2.28,6.9,0,0,0,0,0,108.9,0,8.92,0,0,0.52,0,3.81
 60-70,0,0,0,7.47,0,24.28,27.48,0.59,2.74,10.77,0,0,1.17,0,0,0,0,0,385.43,0,18.69,104.72,94.56,0,0,5.18,0,0,0.65,0,0,58.69,0,6.02,0,8.36,11.04,7.22,0
 72-82,0,0,0,5.48,0,21.86,14.11,0,7.67,17.12,0,0,0,0,0,5.24,0,0,479.34,0,6.22,72.9,47.41,0,0,1.6,0,1.08,0,0,0,19.73,0,9.17,0.9,8.32,49.96,13.66,0
 84-94,0,1.05,0,8.13,1.03,14.8,28.55,0,7.63,11.62,0,0,0,0,2.09,0,0,0,410.73,0,6.66,81.35,29.78,0,0,1.73,0,0,2.08,0,0,30.43,0,5.16,1.37,9.19,57.3,20.97,0
 96-106,0,0.9,0,2.3,0,25.3,48.44,0,4.26,22.72,0,0,0,0,0,0,0.75,0,285.16,5.92,4.84,46.44,31.09,0,0.87,5.54,1.2,0,1.94,0,1.1,31.51,0,1.93,2.18,4.34,57.32,4.22,0
108-118,0,0,0,4.17,0,10.7,18.44,0,14.46,20.29,0.62,0,2.89,0.76,0.52,0,0,0.61,255.56,0,3.19,37.32,42.79,0,0,8.47,0,4.92,0,0,0,32.83,0,3.77,0,3.97,99.29,13.26,0
120,0,0,0,22.26,0,34.61,32.67,0,1.74,1.21,0,0,0,0,0,1.87,0,0,203.09,0,6.69,80.54,56.24,0,0,2.08,0,0,0,0,0,15.54,0,0,1.63,0,138.59,0,0
