stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,2.91,1.05,0,0,0,0,0,0,1.93,0,0,0,16.51,0,3.47,0,0,3.97,0,0,0,61.65,0,0,0,0
 24-34,0,0,10.92,1.26,0,0,2.52,0,0,0,5.65,0,0.6,0,21.26,0,0,0,0,13.15,0,0,0,126.46,0,0,0,0
 36-46,0,0,0,0.68,0,0,0.61,0,0,0,7.44,0,0,0,53.15,0,1.1,0,0,13.79,0,0,0.64,175.59,1.71,0,0,0
 48-58,1.29,0,0.63,0,0,0,7.85,0,0,0.44,9.61,0,0,0,30.84,0,1.32,0.55,0,19.71,0,0,0.45,71.39,0,0,0,0
 60-70,0,0,0,0,0,0,0.7,0,0,1.34,35.32,0,0,0,40.23,2.08,0,0,0,4.28,0,0,0,83.24,0,0,0,0
 72-82,0,0.5,0,0,1.24,0,14.43,0,0,2,45.88,0,0,0,78.56,0,3,0,0,23.24,5.71,0,0.73,77.35,0,0.82,0,0.67
 84-94,0,0,2.25,2.17,0,3.05,22.53,0,0,0,57.52,0,0.55,0.85,187.24,0,1.55,0,0,16.73,0,0,0.71,102.01,0,0.77,0,0
 96-106,0,0.63,0,4.14,17.67,0.56,15.05,0,0.98,1.47,102.96,0,0,0,130.33,0,16.94,0,0,51.39,0,0.63,7.21,123.24,0.67,0,0,0
108-118,0,0,2.27,3.15,5.32,2.78,28,0.55,2.01,1.96,233.84,2.04,0,0,170.87,0,21.66,0,0.59,62.15,0,0,3,101.54,1.98,0,1.13,7.83
120,0,0,0,0,1.84,3.11,2.86,0,0,3.44,174,2.58,2.86,0,125.24,0,9.47,0,0,52.46,0,2.09,2.63,54.35,0,0,0,0
