stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.74,0,0,0,0,0,0,0,0,0
  5-6,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.53,0,0,0,9.2,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,16.2,0,0,0,13.49,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.45,0,0,0,10.74,0,0,4.13,0,0,0,0,0,0,0
 14-21,0,0.81,4.51,3.21,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,0,2.68,38.16,0,0,0,0,4.96,5.84,0,4.46,4.91,6.73,0,0,0,0
 24-34,0,0,3.9,0,0,0,0.83,0,0,0,0,0,0,0,0.6,0,1.06,0,0,2.43,33.03,0,0.69,0,0,2.03,0,0,0,0.61,4.11,0,0,0,0
 36-46,0,0,0.65,0,0,13.1,0.64,0,4.27,0,0,0,0,0,0,0.61,5.66,0,0,1.3,32.88,0.57,0,0,0,3.46,0,0,0,0,8.48,0,0,0,0
 48-58,0,0,0.43,0,0,4.56,0,0,0.98,0,0,0,0,0,0.65,0,4.9,0,0.6,0,63.37,0,0.87,0.52,0,1.24,0,0,0,0,9.98,0,0,0,1.36
 60-70,0,0,0,0,0,12.78,0.65,4.21,1.96,0,0,0,0,0,0,0,5,1.1,0,0.96,22.53,0,0,0,0,0,0,0.68,0,0,13.47,0,0,0,0
 72-82,0,0,0,1.56,0,15.34,3.89,0,0.78,0,0,0,0,0,0,0,4.07,0,0,0.58,21.16,0,0,0,0,0.89,0,0,0,0,13.52,0,0.71,0.52,0
 84-94,0,0,2.72,0.57,0,14.89,0.66,0.71,0,0,0,0.7,0.82,0.6,0,0,4.95,0,0,0,22.76,0,0,0,0,17.15,0,1.35,0,0,0,0,0,1.74,0
 96-106,0,0,0.64,9.67,0,12.92,1.4,0,0,3.43,0,0,0,0,0,0,3.84,0,0,0,29.42,0,0,0,0,3.97,0,0,0,0,0,0,7.75,0,0
108-118,0,0,5.27,0,0.65,5.18,0,0,0,4.51,0,0,1.66,0,0,0,10.19,0.51,0,0.92,13.72,0,2.67,0,0,24.47,0,0,0,0,0,1.16,0.87,0,0.46
120,0,0,5.21,2.55,0,25.14,0,0,0,0,0,0,0,2.26,0,18.59,7.43,0,0,0,25.64,0,0,5.76,0,7.21,0,2.05,0,0,0,0,2.09,0,0
