stage,axial,blastomeres,endoderm,erythrocytes,eye,fin_epithelia,glial,gut,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,somites,spinal_cord,vasculature
  3-4,0,28.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,102.74,0,0,0,0,0,0,0,0,0,13.71,0,0,0,0,0,0,0
  7-9,0,0,11.52,0,0,0,0,0,0,0,0,49.55,0,0,34.93,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,51.58,0,0,41.37,0,0,0,0
 14-21,0,0,0,1.95,0,0,0,0,0,0,0,1.86,5.23,0,0,0,2.12,0,0
 24-34,0,0,0,0,0.79,1.86,0,0,0.67,0.81,0.69,5.69,0,0,0,0,0.66,1.21,0.65
 36-46,0,0,0,0,1,0,0,0,0,0,0,4.28,0,0,0,0,0,4.17,0
 48-58,0.39,0,0,0,2.95,0,0.42,0,0,0,0,2.03,0.62,0,0,0,0,0.85,0
 60-70,0,0,0,0,1.51,0,2.71,0,0,0,0,2.37,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.04,0,2.24,0,0,0,0,0.93,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.98,0,0,0,1.75,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0
108-118,0,0,0,0,0,0,1.04,0,0,0,0,12.18,0,0,0,1.65,0,0,0
