stage,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal_cord,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,9.14,0,0,0,0,0
 14-21,0,2.51,0,0,0,0,0,0,3.13,0,0.98,2.12,0,0,0,1.86,0,0
 24-34,0,0,0,0,0,0,0,0,1.22,0,0,1.4,0,0,0,0,0,0
 48-58,0,0,0,8.04,0,0,0,0,0,0,0.98,0.38,9.92,1.08,0,0,3.66,0
 60-70,0,0,0,4.08,0,0.64,0,0,0,1.56,0,0,2.67,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.55,0,4.52,0,0,0,0,0
 84-94,0,0,2.46,0,0,1.39,0,0,0,0,1.53,0,0,0,1.54,0,0,0
 96-106,4.39,0,0,1.69,0,2.25,0,0,0,0,1.13,0,0.61,1.64,0,0,0,0
108-118,21.03,1.18,0,2.97,0.91,0,0,0.54,0.95,0,0,0,22.39,0,11.8,0,0,0
120,1.66,0,0,0,0,1.81,0,0,30.09,0,14.99,0,18.88,0,0,0,0,3.36
