stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste
  5-6,26.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,17.61,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.3,0,0,0,0,0,0,18.37,0,0,0,14.49,0,0,0,0
 14-21,0,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0
 24-34,0,0,0,0,0.68,0,0,2.24,0,0.89,0,16.93,0,0,0,0,0,20.35,0,0
 36-46,0,0,0,0,1.45,0,1.24,0,0,0.6,0.55,28.9,0,0,0,0,1.09,16.39,0,0
 48-58,0,0,0.89,0,12.29,1.23,1.26,0,0,1.05,0,52.69,0,0,0,0,0,14.99,3.65,0
 60-70,0,0,0,0,11.65,0,0.86,0,0,5.79,0,18.39,0,0,0,0,0,10.56,0,0
 72-82,0,0,0,0,14.78,0,0,2.55,0,4.55,0,27.95,0,0,0.61,0,0,9.61,13.06,0
 84-94,0,0,0,0,4.45,0,0,9.19,1.49,5.1,0,44.24,0,0.83,0,0,1.98,7.05,0,0
 96-106,0,0,0,0,8.8,0,0,6.75,0,0,0,28.31,0,0,0,0,0,11.08,0,0
108-118,0,0.47,1.77,0,5.79,0,0,18.57,0,0,0,6.07,0,0,0,0,0,8.52,0,0.54
120,0,0,0,10.24,22.35,0,0,50.88,0,2.29,0,20.62,1.17,0,0,0,0,25.71,6.72,0
