stage,epidermis,glial,iridophores,mesenchyme,muscle,neural,vasculature
 14-21,0.8,0,0,0,0,0.9,0
 36-46,0,0,0,0,0,3.43,0
 48-58,0,0,0,0,0,8.38,0
 60-70,0,0.73,0.6,0.74,0.8,0,0.89
 72-82,0,1.34,0,0,0,0,0
 84-94,0,1.08,0,0,0,0.61,0
120,0,2.95,0,0,0,0,0
