stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,liver,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,pericytes,pgc,spinal_cord,vascular_smooth_muscle
  3-4,0,281.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.12,187.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.21,0,10.4,0,0,0,0,0,0,118.22,5.22,0,22.51,0,0,0,0
 10-12,0,0,0,0,6.18,10.85,0,0,0,27.89,0,0,7.58,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0.9,0.81,0
 24-34,0,0,0,0,0,0,0,0,0,5.45,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.7,0,0,1.67,0,0,0,0,0,0,0.56,0
 48-58,0,0,0,0,0,0,2.86,0,0.4,3.82,0,0,0,0,0,1.23,0
 60-70,0,0,0,0,0,0,1.05,0,2.4,10.02,0,0,0,0,0,1.13,0
 72-82,0,0,0,0,0,0.82,0,1.08,1.27,15.82,0,0,0,1.77,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,8.36,0,1.78,0,0,0,2.23,4.73
 96-106,0,0,0,0,0,0.99,0,0,0,2.68,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,11.37,0,0,0,0,0,0,0
120,0,0,0,3.67,0,0,0,0,0,9.43,0,0,0,0,0,0,0
