stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,49.84,919.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.2,0,0,0,0,0,0,0,0,0,0
  5-6,50.63,721.7,0,0,0,0,0,0,0,0,0,0,21.16,0,0,0,0,0,0,0,0,0,0,0,12.41,0,0,0,27.21,0,9.78,0,0,0,0,0,0,0,0,0,0
  7-9,26.01,24.48,6.61,0,0,0,34.41,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,294.96,13.75,0,0,95.98,0,0,7.71,0,0,0,0,0,0,0,0,0
 10-12,0,9.31,22.01,0,0,0,31.91,0,0,0,0,0,19.5,0,0,0,0,0,0,0,0,0,0,7.75,357.7,46.36,0,0,161.4,0,6.84,16.55,0,44.88,0,5.74,9.81,0,0,0,0
 14-21,0,0,0,0.87,1.11,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.79,1.25,0,0,0.97,0,0,0,1.24,0,0,4.19,1.73,0,0,0,0
 24-34,0,0,0,1.49,0,0,3.58,0,0,0,5.32,0,0,0.67,0,0.63,0,0,0,0,5.06,0,0,0.63,37.79,0.61,0,0.98,0,0,2.5,0,0,0,0.76,2.96,6.7,0,0,0,0
 36-46,0,0,0,3.11,0,0,9.3,1.3,0,0,1.81,0,0,0,0.73,0,0,0,0,0,11,0.72,2.82,4.13,29.35,0,1.3,0,0,0,4.51,0,0,0,0,0,6.12,0,0,0,2.26
 48-58,0,0,0,0,0,0,15.13,0,0.45,0,4.69,0,0,0.88,3.44,0,0,0,0,0,5.92,0.39,0.55,1.32,35.47,0,0.38,0,0,0,0,0,0,0,0,0,9.27,0,0.95,0,1.43
 60-70,0,0,0,1.01,0,0,16.96,0,0,0,7.33,0,0,0,0,0,0,0,0,0,6.68,0,0,2.55,23.65,0,0,0,0,0,1.28,0,0,0.58,0,0,11.2,0,0,0,0
 72-82,0,0,0,0.58,0.52,0,14.52,0,0,0,5.13,0.88,0,0,1.96,0,1.61,0,0,0,17.47,0,0,2.41,11.8,1.46,0,0,0,1.03,3.52,0,0,0,0,0,1.1,1.19,0,0,0
 84-94,0,0,0,6.92,0,0,12.38,0,1.87,0,0,0.58,0,0,0,0,0.74,0,1.61,0.98,21.39,0,0,1.49,25.96,0,0,0,0,0,13.24,0,0,0,0,0,0,0,0,0,6.03
 96-106,0,0,0,1.69,0.68,0,26.41,0.64,0.57,1.01,0,0,0,0,0.66,0.73,0,2.8,0,0.71,10.2,11.58,0.56,1.99,14.33,0,1.34,0,0,0,5.15,0,0,0,0.6,0,0,0,0,0,0.69
108-118,0,0,0,8.45,2.2,0.44,18.86,0,0.85,3.29,4.17,0.44,0,0,0.46,1.14,0,1.99,3.02,0.52,32.44,0,1.08,9.49,15,0.44,0,0,0,0,7.99,0,0,0,0.46,0,0,0,0.46,0.5,0.91
120,0,0,0,4.81,0,0,1.67,0,0,0,8.11,1.26,0,0,4.37,0,0,0,0,0,8.13,0,10.27,3.88,2.89,1.25,0,0,0,0,6.54,0,0,0,0,0,0,0,2,0,0
