stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.47,0,0,6.78,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.91,0,0,0,9.33,8.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.85,0,0,0,16.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.12,0,0,0,15.59,55.72,0,0,0,5.61,0,0,0,0,0,0
 14-21,1.39,0,0,2.47,5.68,0,0,0,0,0,0,0,4.43,1.69,0,11.26,0,0,0,0,0,1.17,0,0,24.66,0,8.67,5.39,0,312.16,1.25,11.65,2.81,4.45,0.94,0,0,0,0,0
 24-34,0,0,0,1.94,15.82,0,0,8.36,0,2.12,0,1.69,7.39,15.82,0,37.03,0,0,6.75,4.82,6.36,28.69,0,1.98,128.7,0,58.9,10.58,0,1250.4,0,30.01,1.56,4.23,9.42,0,0,0.65,0,1.98
 36-46,0,0,0,0,5.65,0,0,15.52,0,7.64,0,0,3.61,8.1,0,27.87,0,0.57,0.77,0,18.97,25.15,0,0,106.47,0.72,123.85,14.57,0,1691.44,0,12.02,0,0,5.98,0,0,0,0,0
 48-58,0,0,0,1.75,16.16,0,0,16.48,1.59,12.24,1.88,2.93,3.06,23.73,0.85,29.6,0,0.91,3.91,3.8,10.55,23.19,0,1.93,76.37,0,133,24.69,0,1239.37,0,12.66,0,0,10.47,0,0,0,0,2.1
 60-70,0,0,0.62,0,57.18,0,0,31.55,0,11.75,0,2.25,9.79,11.92,0,46.54,0,2.54,0,0,3.02,17.39,0,0.81,52.78,0,171.27,47.44,0,1026.1,0,16.24,0,0,7.52,0,0,0,0,0
 72-82,0,0,3.83,0,83.76,0,0,19.21,0,9.64,0,3.53,15.7,7.73,0.61,44.01,0,3.06,0,0,24.16,22.79,1.19,3.11,62.44,0,177.66,90.69,0,764.16,0,10.47,0,0,1.48,16.31,0,0.96,0,0
 84-94,0,0,4.11,3.31,212.47,1.49,1.24,29.24,0,40.46,0,5.14,36.37,7.72,0,72.42,0,1.39,10.21,3.13,12.43,40.92,0,2.36,61.29,0,166.24,93.02,0,2072.88,0,33.74,0.83,0,0.77,34.86,0.98,0,0,0
 96-106,0,0,5.95,2.73,311.09,10.57,1.16,43.52,0,44.07,0,10.37,43.37,1.06,3.04,82.84,2.23,8.95,5.85,0,15.01,34.08,0,0,75.06,0,253.24,116.45,0,1565.25,0,11.14,0.7,0,0,28.92,0,0,0.69,0.91
108-118,0,0,2.93,7.86,323.66,2.87,24.37,21.14,0,61.71,2.32,17.63,74.03,0,1.16,68.26,0,3.39,9.62,0,19.45,35.87,0,2,53.14,0,189.59,98.21,0,1611.64,0,11.66,0,0,1.26,25.2,0,0.85,0,1.42
120,0,0,0,3.32,379.24,5.9,2.41,13.39,0,57.53,0,0,57.08,0,7.43,38.09,0,2.76,8.58,0,6.21,26.61,8.33,1.65,67.88,0,292.7,97.6,0,761.98,0,16.21,0,0,4.02,21.48,0,0,0,0
