stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord
  5-6,9.69,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.07,0,0,0,0,0,0
 14-21,0,0,0,1.01,0,0.93,0,0,0.84,0.85,0,0.88,5.15
 24-34,0,0,0,0,0,0,4.29,2.04,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.01,0,0,0,0,0,0
 48-58,0,0,1.46,0,0,0,3.39,0,0,0,0,0,0.81
 60-70,0,0.58,3.89,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.93,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,5.78,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.56,0,0
120,0,0,0,0,3.02,0,0,0,0,0,0,0,0
