stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,taste
  3-4,11.43,54.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,65.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.38,0,0,0,0,0,0,0,0,77.37,8.59,27.17,3.37,0,0
 10-12,0,0,0,9.82,0,0,0,0,0,0,0,0,15.29,0,13.28,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,8.39,0.65,0,10.9,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,27.82,0,0,18.7,0,0
 48-58,0,0,0.49,0.51,0,0.77,0,0,0,0,0,0,37.51,0,0,13.53,2.06,0
 60-70,0,0,1.38,0,0.64,0,0,0,0,0,0,0.72,15.2,0,0,23.01,0,0
 72-82,0,0,1.39,0,0,0,0,0,0,0,0,0,7.05,0,0,24.23,0,0.71
 84-94,0,0,2.61,0,0.58,0,0,0,0.92,1.2,0.91,0,25.72,0,0,66.78,0,3.71
 96-106,0,0,16.04,11.78,0,0,0,0,1.1,0,1.39,0,16.41,0,0,50.85,0,0
108-118,0,0,8.26,6.09,0.43,0,1.11,5.04,0.87,0,0,0,3.3,0,0,23.53,0,0.71
120,0,0,1.81,0,4.62,0,0,0,1.89,5.73,0,0,0,0,0,7.33,0,0
