stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,visceral_smooth_muscle
  7-9,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,15.93,0,0,0,0,0,0
 14-21,0,1.05,0.89,4.1,0,0,0,0.99,1.22,0.85,0,1.25,1.34,0.82,0
 24-34,0,0,0,0,0.73,0.87,0.99,0,6.1,0,0,0,0,1.64,0
 36-46,0,0,0,0,3.75,2.99,0,0,5.15,0,0.75,0,0,1.8,0
 48-58,0,0,0,0.4,10.47,0,1.09,0.4,1.34,0,0,0,0,0,0
 60-70,0,0,0,0,12.21,0,0.8,0,19.44,0,1.28,0,0,0,0
 72-82,0,0,0,0,4.19,0,0,0,1.07,0,0,0,0,0,0
 84-94,0,0,0,0,1.58,0,0,0,0,0,0.75,0,0,0,0
 96-106,0,0,0,1.45,7.43,1.56,0,0,0,0,0.71,0,0,0,0
108-118,0,0,0,0,8.28,0,0,0,0,0,0.53,0,0,0,1.11
120,0,0,0,0,9.28,0,0,0,0,0,1.16,0,0,0,0
