stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,99.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1,0,0,0,0,0,0,0,0,0
  5-6,34.58,141.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.75,11.95,0,7.19,0,0,0,0,0,0,0,0,0,0,126.77,10.1,0,105.72,0,5.74,0,0,0,0,0,0,0,0
 10-12,0,20.45,0,38.9,0,0,50.14,0,0,0,0,0,0,0,461.24,30.97,0,213.41,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.08,3.3,0,2.47,0,0.87,1.73,0,0,0,9.87,20.84,0.9,0,0.89,0,0,4.57,0,0.86,6.54,10.64,0.91,0,0
 24-34,0,0,0,0,0.62,0,2.26,0,3.42,0,0,0,2.41,0.98,26.37,0,1.7,0,2.82,0,0,1.11,0,0.71,9.37,4.46,0,0
 36-46,0,0,0,0,0.9,0,1.01,0,3.06,0,0,0,4.48,0,46.62,0,0,0,1.04,0,0,0,0,0,5.49,0,0,1.4
 48-58,0,0,0,0,0.5,0,0,0,0,0,0,0,0.42,0,17.78,0,3.06,0,0,0,0,0,0,0,1.57,0,0,1.42
 60-70,0,0,0,0,0,0,4.98,0,5.01,0,1.88,0,1.45,0,23.4,0,3.45,0,1.48,0,0,0,0,0,0,1.44,0,0
 72-82,0,0,0,0,0,0,6.4,0,8.38,0,10.11,0,1.33,0,10.28,0,2.66,0,0,0,0,0,0,0,0,0.89,0,0
 84-94,0,0,0,0,0,0,0.65,0.61,0,0,6.98,0,0.8,0,5.78,0,0.91,0,0,0,0,0,0,0,1.07,0.87,0,0
 96-106,0,0,0.83,0,0.95,0,5.29,0,3.76,0,13.83,0.98,0.7,0,11.54,0,7.83,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.52,1.04,0,1.39,0,20.47,0,0,0,3.74,0,0,0,0,0,0,0,0,0,1.76,1.6,1.65,0
120,0,0,0,0,0,0,2.2,0,0,0,37.48,0,2.24,0,9.64,0,0,0,2.59,0,0,0,0,0,0,0,0,0
