stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.84,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.49,3.95,0,0,5.66,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.41,39.47,0,0,0.82,0,4.01,0,0,0,0,0,0,0.93,0,0,4.41,0,0,1.85,31.32,26.85,0,0,5.35,0,2.15,0,10.75,0,0,4.43,6.84,0,0,0
 24-34,0,39.42,0.67,0,5.18,0,20.18,0.62,0,0,0,0,0,2.16,0,0,6.65,0,0.89,10.54,47.39,3.52,0,1.28,0,0,4.24,0,0,0.66,0,2.76,24.26,0,3.57,0
 36-46,0,40.12,0,0,9.91,1.45,11.03,0.78,3.47,0,0.68,0,0,6.4,0.83,0,13.66,0,0,1.92,131.15,0,0,0,0,0,0,0,0,0,0,0,52.78,0,1.31,0
 48-58,0,11.57,0,0,59.19,0,14.79,1.3,2.25,0,0,0,0,6.34,0,0,19.1,0,1.67,3.28,182.22,0.5,0,0.69,0,0,7.29,0,0,0,0,0,23.59,0,1.5,0
 60-70,0,9.41,0,0,143.98,0,9.28,1.69,11.23,0,3,0,0.78,5.23,1.06,0,32.51,0,0,0.59,152.78,0,0,0,0.81,0,14.47,0,0,0.58,1.49,0,24.68,0.61,0,0
 72-82,0.93,6.71,0,0,147.18,0,9.59,0.59,13.27,1.23,0,0.59,0.49,3.33,0,0,58.06,0,0,3.46,160.36,0,0.58,0,0,0,0.7,0,0,0.53,0,0,19.34,0,0,7.77
 84-94,0,21.44,0,0,118.79,0,19.48,0.81,10.55,0,0,0,0,0.78,0,0.98,24.55,1.13,1.04,3.69,223.31,0.9,0,2.77,0,0.6,2.75,0,0,0,0,0,17.14,0,2.26,1.88
 96-106,0,9.66,1.65,0,90.61,0,11.2,6.86,17.87,0,0,0,0,3.17,0,0,16.22,0,0,0,167.42,0,0.89,0,0,2.63,1.25,0,0,0.69,0,0,7.27,0,1.49,0
108-118,0,27.84,0,0.57,100.44,0,17.79,0,6.71,0.54,0,1.3,0,0.51,0,0,11.76,0,0,0,199.99,0.85,1.24,0,0,0,3.71,0,0,1.91,0.76,0,3.64,0,1.53,0.7
120,0,8.93,0,14.01,37.85,0,19.41,0,12.28,0,0,0,0,2.53,0,0,10.98,0,0,0,370.06,0,1.11,0,0,0,0,2.5,0,0,0,0,12.05,0,2.12,0
