stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.8,0,0,0,0,0,0,0,0,0,0,1.51,0,0,1.79,0,0,0,0.84,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.06,0,0,0,0,19.02,0,2.29,15.21,0,0.64,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.55,0,0.96,0,9.83,0,0,0,0,21.98,0,2.26,13.92,0.92,0,0,0,0,1.19,0,0,0,0,0
 48-58,0,0,3.25,0,1.64,0,0.75,0,0,0,0,20.94,0,1.53,51,0,0,0,0,0,1.19,0,0,0,0,0.6
 60-70,5.58,0.74,3.04,0,8.63,0,4.38,0,0,0,4.52,50.4,0,1.22,60.81,0,0,0,0,0,9.07,0,0,0,0,2.32
 72-82,0,0,6.11,0,6.16,0,6.71,0,0.64,0,0,106.92,1.23,0,59.55,0,0,0,0,0,1.33,0.97,0.52,0,0.9,45.75
 84-94,0,0,6.32,0,9.64,0,9.26,0,0,1.82,4.5,100.32,5.92,0.68,36.69,0,0,0,0,0,0,0,2.16,0,0,30.74
 96-106,0,0,3.5,0,11.26,0,8.25,0,0,0,0.72,109.67,0,1.05,48.33,0,0,0,0,0.82,0,0,4.14,0,0,54.31
108-118,0.9,1.3,15.91,1.17,18.97,0.45,11.07,1.7,1.26,0,2.7,144.37,0,1.04,54.48,0,0,0,0,0,0,0,1.94,0,0,44.58
120,0,0,18.01,6.71,32.73,0,121.2,0,0,0,3.24,254.5,0,0,55.11,1.61,0,12.53,0,0,0,0,9.3,6.48,0,23.39
