stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,40.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.77,85.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.82,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.12,0,0,0,28.14,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,6.57,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,0.87,15.97,0,0,0,0.9,0,2.39,2.52,0.82,0,1.85,6.67,0,0,1.82,0,0
 24-34,0,0,0,1.12,9.22,0,0,0,0.68,0,0,0.63,0,1.42,0,4.1,0,1.31,0.61,0,4.36,0,0,2.13,59.34,0,0,0,0,3.84,0,0,0.69,0,0,10,0,0,5.51,0,0
 36-46,0,0,0,0,2.83,0,0,2.25,0,0,0,3.43,0.72,0,0,0,0,0,0,0,15.44,0.65,0.98,2.94,46.79,2.73,2,0,0,5.86,0,0,0,0,0,5.49,0,0,3.22,0,0
 48-58,0,0,0,0,4.78,0,0,4.23,0,0,0,2.53,0,0,0.52,1.28,0,0,0,2.41,17.21,0,0,7.12,43.13,0,0,0,0,15.37,0,0,0,0,0,8.97,0,0,1.42,0,0
 60-70,0,0,0,0,4.87,0,0,4.61,0,0,3.2,4.17,0.62,0,1.38,0,0,0,0,0,16.41,1.46,0.85,0,34.72,0,0.88,0,0,10.78,0,0,0,0,0,22.17,0,1.84,8.61,0,0
 72-82,0,0,0.53,0,1.23,0.58,0,15.05,0,0,1,9.42,1.24,0,5.87,0,1.66,0,0,0,29.8,2.58,1.98,5.11,48.28,0,8.86,0,0,22.52,0,0,1.23,0,0,10.21,1.51,2,9.28,0.53,0
 84-94,0,0,0,0,12.29,2.9,0,25.47,0,0,0,2.13,1.29,0,1.99,2.71,0.66,0.6,0,2.91,21.42,3.28,2.12,4.93,35.35,0,0.77,4.81,0,55.46,0,0,2.39,0,0,0,0,1.76,9.12,1.73,19.08
 96-106,0,0,0,0,8.85,3.39,0.84,21.35,0,1.33,0,7.24,2.8,0.97,4.62,0.63,2.48,1.91,0,0.67,6.67,6.21,4.45,1.29,44.47,0.75,4.02,3.3,0,79.51,0,0,0,0,0,10.97,1.26,0,28.1,0,0.58
108-118,0,0,0,0,24.92,7.36,0,23.32,0.98,0,0,8.03,2.74,3.54,4.42,1.4,0.41,2.3,0.55,2.5,36.55,1.46,1.73,2.67,52.43,1.06,4.57,1.17,0,60.51,0,0,0,0.41,0,0.47,2.64,0,8.49,0,0
120,0,0,0,0,5.95,26.59,1.6,24.4,0,5.8,0,5.83,1.31,1.61,14.64,0,1.01,0,1.23,1.33,32.21,0,8.06,7.49,42.65,0,2.79,0,0,42.25,0,0,1.83,14.84,0,8.98,0,0,22.03,0,0
