stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,640.65,2796.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,1985.92,7533.82,0,171.08,0,0,0,0,0,0,0,0,332.58,0,0,0,0,0,0,0,0,3089.2,0,0,0,463.89,0,6.16,0,0,0,0,0,0,0,0,0,0
  7-9,179.6,261.97,0,5691.43,0,66.62,0,10.43,0,0,0,0,785.86,0,0,0,0,0,0,0,0,2663.5,46.93,0,0,1194.53,0,6.15,8.97,0,0,0,0,0,0,0,0,0
 10-12,0,150.58,0,2739.16,0,864.6,0,38.58,0,0,0,0,3.88,0,0,0,0,3.73,0,0,0,1534.67,20.28,0,0,240.11,0,3.1,5.47,0,442.21,0,0,0,0,0,0,0
 14-21,2.31,0,0,61.6,86,126.28,0,0.97,0,0,0,51.15,4.04,52.39,0,0.81,0,25.19,750.12,0,249.08,254.83,1.76,0,0.83,0,0,0,0,3.58,1.19,0,1.28,2.95,0,0,0,0
 24-34,0.88,0,0.6,11.42,26.16,4.32,0,2.77,0,0,4.2,9.73,0,269.61,0,0,0,50.12,447.04,12.85,100.21,109.99,0,0,0,0,11.96,0,0,1.1,0.65,0.8,0,5.73,0,19.55,0,0
 36-46,0,0,0,1.52,7.23,11.69,0,0.7,0,0,0,5.32,0,182.56,0,0,0,13.43,276.78,24.16,24.6,48.85,0,0,0,0,9.07,1.46,0,0,0,0,0,2.06,0.85,2.88,0,0
 48-58,0,0,0,0.4,4.33,0,0,12.19,0,3.01,0.81,8.95,0,216.58,0,0,0,2.59,202.88,25.15,16.37,71.14,0,0.59,0,0,18.74,0.4,0,0,0,0.37,0,6.98,6.7,9.24,0,4.74
 60-70,0,0,2.05,0,12.3,0.97,0,15.34,0,0,12.02,53.08,0,130.88,4.08,0,0,10.26,220.41,15.71,3.33,40.67,0,0,0,0,33.89,3.5,0,0,0,0,0,0,28.4,0,2.72,0
 72-82,0,0,20.54,0.56,8.71,0,0,22.43,0,2.98,13.13,88.86,0,245.18,0,0,0,0,224.54,35.82,7.22,32.63,0,0,0,0,28.66,0,0,0,0,0,0,4.14,33.03,13.62,2.78,6.12
 84-94,0,0,9.74,0,1.03,0,7.19,11.08,0,2.22,1.46,149.33,0,181.11,0,0,0,6.16,140.43,32.99,4.94,39.11,0,0,2.34,0,46.25,0.84,0,0,0,0,0,0,40.58,13.9,7.9,0
 96-106,0,0,13.28,0.64,2.11,1.15,6.8,19.14,0,11.43,1.11,155.26,0,204.41,0.94,0,0,14.65,130.96,24.86,5.54,74.05,0,0,0,0,23.7,4.71,0,0,0,0,0,0,46.23,7.88,15.92,0
108-118,0,0,5.66,3.49,5.84,0,22.73,5.77,2.3,1.97,1.56,165.93,0,112.81,0.58,0,0.78,9.11,150.55,41.38,2.7,36.6,0,0,0,0,35.51,0,0,0,0,0,0,0,47.1,12.06,9.71,0
120,0,0,9.97,1.66,14.03,0,6.75,18.98,1.11,1.6,1.79,149.55,0,183.57,0,0,0,0,215.01,14.77,0,90.06,0,9.85,0,0,71.16,0,0,0,0,0,0,0,76.16,13.89,3.95,0
