stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.63,380.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.17,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.95,764.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.86,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.71,20.99,0,60.89,0,0,0,128.51,0,0,0,0,32.32,0,0,0,0,0,0,0,0,0,0,751.4,16.14,0,0,204.46,0,0,14.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.58,0,30.58,0,0,0,111.45,0,0,0,0,22.86,0,0,0,0,0,0,0,0,0,0,739.48,11.68,0,0,197.58,0,0,0,0,18.34,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,1.14,6.74,3.89,0,7.83,0,0,1.23,2.29,0,0.89,0,0,0,0,0,0,8.31,0,1.77,161.14,7.76,0,0.84,1.32,0,0,0,8.65,0,0,15.18,42.18,0,0,0,0,0
 24-34,0,0,0,0.64,6.7,0.94,0,17.91,0,0,6.3,0.82,0,1.82,0,0,0,1.32,0.96,0.62,15.66,0,1.95,231.06,0,2.03,0,0,0,0.6,0,0,1.13,0,0,60.18,0,0,1.82,0,0
 36-46,0,0,0,0,1.48,0,0,36.19,0,0.75,7.06,0,0,0,0,0,0,0.67,0,0,19.76,0.68,3.56,252.91,0,9.97,0.66,0,0,4.55,0,0,0.58,0,0,45.53,0,0,0.9,0,0
 48-58,0,0,0,0,9.51,0,0,68.06,0,0,13.67,0,0,0,0,0,0,1.02,0,0,36.33,0,2.7,170.64,1,0.47,0.8,0,0,3.21,0,0,0,2.89,0,39.11,0,0,1.04,0,3.31
 60-70,0,0,0,0,4.45,0,0,92.52,0,0,11.73,0,0,3.82,0,0,0,0,0,0,27.59,0.59,3.72,150.04,2.21,0,0,0,0,0,0,0,0,0,0,19.26,0,0,1.09,0,0
 72-82,0,0,0,0,2.93,1.11,0,73.73,0,1.94,9.68,0,0,0,1.38,0,0,0,0,0,21.61,0,1.08,120.07,0,1.08,4.73,0,0,0.75,0,0,0,0,0,11.31,0,0,4.36,1.2,12.01
 84-94,0,0,0,0,4.22,0,0,50.13,0,0.78,9.88,2.03,0,0,1.21,0,0,4.61,0,0,45.48,1.56,2.66,112.78,0,0,1.81,0,0,7.62,0,0,0,0,0,12.83,0,1.3,1.2,0,0
 96-106,0,0,0,0,3.8,3.61,0,44.73,0,0,26.29,1.68,0,0,0.79,2.68,0,0,1.54,0,24.34,2.12,0.87,71.39,0,3.44,2.06,0,0,3.66,0,0,0.82,0,0,5.47,3.45,0,6.11,2.24,1.88
108-118,0,0,0.62,0,1.46,0,0.61,46.22,0.75,0,27.91,0,0,0,2.89,0.49,0.47,0,0,1.34,29.44,1.29,0.55,171.98,0.5,1.01,5.16,0,4.16,2.89,0,0,1.4,0,0,19.33,0,1.44,8.02,0,0
120,0,0,0,0,8.13,0,0,76.88,1.22,1.52,21.59,0,0,0,1.96,1.45,0,2.65,0,0,18.79,11.1,1.22,181.18,9.24,1.26,0,0,0,0,0,0,0,0,0,9.15,0,0,2.97,2.01,0
