stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.57,159.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0
  5-6,9.34,185.76,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,0,21.52,0,0,0,0,0,0
  7-9,0,6.05,0,0,14.17,0,0,0,0,0,0,0,0,0,0,96.4,13.63,0,0,13.32,0,0,0,0,0,0,0
 10-12,0,0,0,4.95,7.52,0,0,0,0,0,0,0,0,0,0,122.37,0,0,0,3.7,0,12.9,0,0,0,0,0
 14-21,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,0,15.13,0,0,0,0,0,0,3.38,0,0,0,0
 24-34,0,0,2.09,0,1.12,0,0,0,0,0,0,3.09,0,0,0,14.11,0,0,0.74,0,2.48,0,3.01,0,0.61,0,0
 36-46,0,0,0.68,0,0,0,0,0,0,0,0,0.64,0,0,0,8.41,4,0,0,0,0,0,1.46,0,0,0,6.66
 48-58,0,0,0,0,3.09,0.47,0.68,0,0,0,0,0.98,0,0,0.88,12.24,0,0.41,0,0,0.4,0.42,2.02,0,0.5,0,0
 60-70,0,0,0.95,0,10.95,0,3.14,0,3.36,0,0,1.67,0,0,0,7.5,0,0,0,0,1.48,0,3.45,1.72,0,0,0
 72-82,0,0,1.76,2.6,17.02,0,1.23,0,1.06,0,0,1.18,0,0,0,8.92,0,0,0,0,6.2,0,3.81,0,0,0,0
 84-94,0,0,0.67,0.84,1.41,0,0,0,1.44,0,0,0,0,0,0,9.05,0,0,0,0,0,0,0,0,4.91,0,0
 96-106,0,0,0,0,3.72,0,3.87,2.71,1.31,0,2.1,2.83,0,1.24,0,5.44,0,3.59,0,0,6.74,0.71,2.42,0.62,0,0,1.21
108-118,0,0,1.95,0,0,0.7,0.7,0,0,3.67,0,0,0,0,0,17.93,0,0,0,0,1.41,0,0,0,0,0.49,0
120,0,0,1.58,0,0,0,0,1.45,0,0,0,0,1.59,0,2.94,8.82,3.25,0,0,0,3.64,0,0,0,0,0,4.74
