stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.99,678.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.97,699.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.48,0,0,0,11.07,0,26.94,0,0,0,0,0,0,0,0,0,0
  7-9,9.33,48.72,0,26.89,0,0,0,31.44,0,0,0,0,0,21.59,0,0,0,0,0,0,0,0,0,0,1052.48,9.77,0,0,289.47,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.65,0,47.08,0,5.18,0,19.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3471.78,46.14,0,0,313.38,0,3.1,0,0,24.03,0,0,0,0,0,0,0
 14-21,0,0,0,0,3007.88,32.7,0,27.15,0,2.89,0,5.35,2.82,1.89,8.61,0,6.64,0,0,2.95,196.04,2.58,0,166.99,370.7,31.99,0,8.37,8.36,0,0,0.9,43.66,1.94,67.45,72.79,0,0,4.52,0,0
 24-34,0,0,0.8,0,605.18,2.33,0,12.13,0,38.01,2.99,5.95,0,0.76,17.78,0,0.6,0,7.25,0,289.1,5.28,0,131.43,195.07,2.16,3.32,0,0,0.99,0,0,0,0,7.21,43.22,0,0,24.36,0,0
 36-46,0,0,0,0,185.76,3.33,0,14.74,0,40.88,12.12,27.59,0,0,17.27,0,14.55,0.86,1.45,0,323.28,1.02,7.1,143.75,258.8,21.16,4.6,0,0,0,0,0,1.63,0,0,60.83,0,2.54,29.87,0,0
 48-58,0,0,0,0,129.25,0,0,40.09,0,66.8,41.15,22.3,0,0,26.8,0,0,0,1.41,0,372.36,1.84,10.17,77.53,224.05,5.17,6,0,0,1.34,0.39,0,0,0,0,65.78,0,3.43,27.3,0.78,0
 60-70,0,0,0,0,120.36,0,0,38.74,0,61.42,23.21,46.9,0,0,24.68,0,2.43,0,5.07,1.2,550.51,0,36.92,75.16,135.67,19.23,3.13,3.21,0,4.44,0,0,0,0,0,40.13,0,17.51,20.53,11.03,11
 72-82,0,0,0.87,0,66.95,0,0,51.9,0,51.79,51.04,65.55,3.78,0,39.35,0,0,0,5.6,0,863.09,0,45.77,45.46,152.69,5.98,3.92,1.06,0,9.45,0,0,0,0,0,33.46,0,32.9,43.29,18.74,3.18
 84-94,0,0,0,0,155.54,1.29,0,66.53,0,84.14,32.42,79.46,0,0,33.21,0.95,1.65,0,6.54,0,733.49,0,38.78,34.1,114.46,20.98,2.32,0.88,0,8.97,0,0,0,0,0,31.41,1.29,24.06,58.9,26.06,0
 96-106,0,0,0,0,150.26,2.28,0,66.02,2.38,55.43,37.31,133.97,8.19,0,75.19,1.21,1.36,0.81,11.7,14.57,948.17,0,98.41,61.24,141.7,12.32,4.26,0,0,15.49,3.68,0,0,0,0,19.98,1.5,30.94,68.8,39.66,0
108-118,0,0,0,0.74,122.47,2.94,0.45,41.72,0,79.78,20.85,95.83,8.48,0,31.93,2.32,1.63,0.43,2.73,0,906.69,0,91.03,32.88,94.07,27.26,4.14,1.93,0,32.35,0.75,0,0,0,0,19.44,0,26.57,61.29,21.2,0
120,0,0,0,0,170.05,0,0,53.18,0,59.85,47.37,173.52,8.76,0,21.59,5.75,1.45,0,0,0,811.06,1.16,61.49,10.67,112.75,67.72,5.91,0,0,41.51,1.34,0,0,0,0,70.9,5.08,54.67,10.13,24.06,0
