stage,erythrocytes,eye,fast_muscle,fin_epithelia,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,4.09,0,0
 14-21,0.87,0,0,0,0,0,0,0,0,0.82,0
 24-34,0,0,0,0,0,0,0,0,0,1.5,0
 36-46,0,0,0,0,0,0,7.32,0,0,5.41,0
 48-58,0,0,0.53,0,0,0,5.93,0,0,1.4,0
 60-70,0,0,0,0,0.63,0,7.7,0,0,0,0
 72-82,0.51,0,0,0,0,0.88,11.91,1.19,0,0,0
 84-94,0.93,6.28,0,0,0,0,7.99,0,0,0,0
 96-106,0,0,0,1.21,0,0,0,0,0,0,0
108-118,0,3.05,0,0.45,0,0,1.68,0,0,0,5.82
120,0,12.42,0,0,0,0,1.45,0,0,0,0
