stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,heart,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature
  5-6,7.07,0,0,0,0,0,0,0,0,0,0,0,0,9.79,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,0,5.95,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,16.64,0,4.9,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,1.76,0,0.79,0,0,0,0,0,0,0,0,0.72,0.81,0,0,0,0,0,0,0,2.39
 36-46,0,2.83,0,2.37,0,0.87,0,0,0,0,0,0,0.83,18.95,0,0,0,0,1.74,0,0,0
 48-58,0,0.5,0,6.44,0,0,0,0,0,1.27,0,0,0.7,14.52,0,0,0,0,0,0,0,0
 60-70,0,0,0,236.7,3.4,0.73,0,0,1.24,7.8,0,0,0,146.2,0,0,0,0,0,0,0.82,0.86
 72-82,0,3.53,0,567.98,3.57,30.73,0,0,0,7.04,0,2.54,0.71,221.14,8.17,0,0,0,0,0,0,0
 84-94,0,19.79,0,650.51,0,19.76,0,0.65,0,2.19,0,1.31,0,180.95,0,0,0,0,0,0,0,0
 96-106,0,3.93,1.52,821.85,0.61,35.34,0.72,0,0,16.15,0,6.42,3.64,144.61,0,0,3.62,1.15,0,5.51,0,0
108-118,0,0.46,0,976.97,0,53.82,0,0,0,12.3,1.82,0,2.91,146.65,0,0,11.91,0,0,0,0,0.44
120,0,1.09,0,995.46,0,27.09,0,0,0,4.65,0,0,1.58,299.01,0,0,0,0,0,0,0,0
