stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,211.53,3589.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.8,0,0,0,0,0,0,0,0,0
  5-6,133.98,1952.08,0,9.08,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,50.05,0,0,0,40.03,9.26,0,0,0,0,0,0,0,0,0
  7-9,7.54,25.03,0,8.8,0,0,56.1,0,0,0,0,55.83,0,0,0,0,0,0,0,0,629.94,45.78,0,0,140.09,0,6.94,0,0,0,0,0,0,0,0
 10-12,0,21.71,0,35.46,0,0,28.21,0,0,0,0,0,0,0,0,0,0,0,0,0,447.15,33.99,0,0,195.53,0,18.34,0,4.86,3.87,0,0,0,0,0
 14-21,0,0,0,6.64,81.7,5.84,11.34,0,0,9.53,0.87,0,0,8.8,0,0,21.39,0,0,3.98,92.96,0,0,0,6.19,3.19,7.18,15.38,3.45,15.64,33.52,0,4.27,0,0
 24-34,0,0,0,1.99,22.42,0,8.01,0,1.09,4.78,4.78,1.82,0,0.62,1.62,2.74,17.07,3.71,0,9.36,110.77,0,1.33,3.77,0,2,1.59,0,0,3.94,13.68,0,0.99,0,0
 36-46,0,0,0,0,5.87,0.76,5.59,10.34,0,6.44,0.72,0,0,0,0.95,0,7.86,0,0,1.19,36.96,0,0.66,2.13,0,0,2.89,0,0.81,0,8.13,0,0,0,0
 48-58,0,0,0,0,0.54,0,4.2,0,0,6.34,0,0,0,0,0,0,11.23,0,0,1.77,14.34,0,0.5,1.28,0,0.41,0,0.92,0,0,4.4,0,0,0,0.59
 60-70,0,0,0,0,0.57,0,2.51,1.25,0,5.96,0,0,0,0,0.59,0,9.57,0,1.78,4.13,25.02,0,1.82,1.58,0,0.8,1.07,0,0,0,3.97,0.73,0,0,0
 72-82,0,0,0.83,0,1.04,0,0.56,0,0,4.38,0,0,0.53,0,0.79,0,17.23,0,0.77,0,21.03,0,3.1,0.79,0,0.77,0.56,0,0,0,8.2,0.54,0,0,0
 84-94,0,0,0,0,2.79,0,2.75,0,0.82,1.71,0,0,0,1.44,0,2.99,31.53,0,0,0.84,9,0,0,5.86,0,0,0,0,1.09,0,2.94,0,1.07,0,0
 96-106,0,0,1.15,0,4.63,0,3.91,0.62,3.43,6.55,0.79,0,0,0,2.63,0,10.09,0,0,3.82,9.29,0,4.52,3.19,0,0,0,0,0,0,1.03,0,0,1.12,0
108-118,0,0,0,0,1.71,0,1.49,1.12,1.49,11.33,1.07,0,0,0,0.74,0.97,18.4,0,0,0.56,29.21,0,2.26,3.2,0,0,0,0,0,0,2.63,0,0,0,0
120,0,0,1.37,0,9.46,0,2.16,0,0,5.57,1.53,0,0,0,0,0,5.87,0,0,0,53.11,0,1.26,12.39,0,0,0,0,0,0,11.29,0,2.39,2.7,0
