stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.49,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.24,1.03,3.22,0,0,0,0,0,0,0,0,0,0.83,0,0,0,5.73,1.23,0,2.36,0,0,0.87,1.8,2.89,5.9,0.98,0,0
 24-34,0,0,0,0.85,0,0,36.56,0,0.65,0,0,0,0,2.99,0,0,5.24,58.32,0,0,0.65,0,0.68,0,4.58,9.3,6.93,2.01,0,0
 36-46,0,0,0,2.65,0,8.58,103.13,0,0,0,0,0,0,2.04,0,0,8.48,77.18,0,0,1.22,0,9.23,0,35.75,1.25,4.91,1.94,0,0
 48-58,0,0,0,1.21,0,20.6,68.56,2.36,6.62,2.39,0,0,0,4.06,0,0,10.96,95.85,0,0.59,0,0,2.98,0,10.5,0,11.95,2.51,0,1.83
 60-70,0,0,0,7.31,0,31.29,49.62,0,4.38,0,0,0,0,15.53,0,0,10.84,68.49,0,0,2.61,1.21,0.69,0,0.61,0,30.31,0,0,0.91
 72-82,0,0,0,0,1.32,27.4,17.64,0,6.98,0,0,0,0,8.23,0,0,2.98,67.84,0,1.05,0,0,0,0,1.17,0,7.55,0,0.77,23.95
 84-94,0,0,0,0.68,0,29.09,14.19,0,19.97,1.45,0,0.64,0.66,17.17,0,1.32,2.04,36.87,0,0,1.95,0,2.85,0,0,0,1,4.22,0,0
 96-106,0,0,0,3.13,2.07,33.99,11.99,3.45,10.15,1.81,0,0,0,14.77,0,0,3.1,36.34,0,0,0,0,1.04,0,0.57,0,3.37,3.51,0,2.61
108-118,0,0,0,0.61,7.95,34.48,20.6,0,8.97,0,0,1.47,0.56,13.14,0,0,11.54,46.33,0,0,0,1.49,0.83,0,0,0,0,0,0,0
120,0,0,1.28,1.35,1.46,2.65,21.98,0,6.81,1.74,1.28,0,0,16.9,13.87,0,20.86,105.94,0,0,0,0,4.51,0,1.6,0,0,1.72,0,2.59
