stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,385.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,142.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,19.1,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,139.39,0,0,0,42.86,0,0,9.15,0,0,0,0,0,0,0,0,0,0
 10-12,13.77,0,20.35,0,5.14,0,28.19,0,0,0,0,0,16.97,0,0,0,0,0,0,0,0,0,0,0,718.55,18.19,0,0,150.94,0,0,8.58,0,5.54,0,0,0,0,0,0,0,0
 14-21,0,0,2.08,21.33,8.27,0,29.67,0,0,0,6.53,0,0,0.81,0,3.08,0,0,0,0,40.81,0,0,36.05,350.35,2.08,2.42,3.05,3.89,0,1.51,0,5.4,0,0,10.95,98.32,0,0,0,0,0
 24-34,0,0.71,0.71,11.99,8.08,0,125.65,0,0.83,0,24.73,4.01,0,2.88,0,1.69,0.95,2.66,4.19,0,97.34,0,0,116.82,750.55,2.43,4.93,3.87,0,0.99,5.96,0,0,12.03,0,2.28,116.71,0,0,13.85,0,0
 36-46,0,0,0,19.78,6.09,0,203.63,0,1.69,9.75,29.83,0,0,0.79,4.15,0.78,0.74,2.28,0,0,103.71,0,0.77,94.48,509.25,0,4.34,1.44,0,0,4.8,0,0,3.37,0,0,120.26,0,0,5.82,0,0
 48-58,0,0,0,9.68,1.12,0,197.71,1.2,9.36,11.7,35.08,0.42,0,1.74,0,0,0,1.09,4.18,7.76,138.74,1.46,1.96,59.6,256.35,0,0.99,2.06,0,0,2.2,0,0,5.73,0.73,0,46.95,0,0,10.07,0,2.48
 60-70,0,0,0,19.36,2.13,0,153.93,0,0,16.27,43.21,0,0,0.69,2.65,0,0,0,1.33,0,121,0,1.63,35.08,160.4,0,2.89,0.65,0,2.9,4.62,0,0,1.55,0,0,21.9,0,1.84,2.36,0,6.5
 72-82,0,0,0,4.44,42.16,0,59,0,2.07,5.75,46.41,1.38,0,4.91,0,0,4.28,1.77,0,0,110.88,0,13.53,30.92,130.14,0,4.7,1.07,0,0.71,1.72,0,0,1.46,0,0,16.64,0,0.87,7.67,0.93,0
 84-94,0,0,0,8.7,63.12,0.87,72.87,0,1.36,22.67,12.26,0.72,0,1.45,1.48,0,0,0,1.49,0,102.56,0,4.95,30.17,88.94,2.06,1.04,6.36,0,0,6.27,0,0,0,0,0,12.66,1.5,1.21,9.43,1.33,0.88
 96-106,0,0,0,9.04,55.58,0.6,86.38,0,4.42,6.17,27.72,5.66,0,0.97,5.55,0,0,0.75,0,0,93.98,0,0,31.38,157.32,3.29,6.42,3.19,0,0,9.57,0,0,0.63,0,0,10.05,0,6.5,4.05,2.87,6.21
108-118,0,0,0,32.83,37.18,0,63.9,0,3.23,6.78,37.01,3.09,0,0,6.28,4.1,3.58,1.87,1.86,0,106.57,0,5.53,9.06,118.51,2.16,12.94,3.36,0,1.31,4.21,0,0,0.47,0,0,10.58,0.6,1.69,12.34,0,0.93
120,0,0,0,28.08,30.88,1.89,42.36,0,4.43,9.37,40.19,0,0,0,2.34,1.28,0,0,0,0,79.27,0,0,14.61,183.04,0,7.17,5.3,0,0,1.9,0,1.12,1.56,0,0,17.1,0,0,7.08,2.31,0
