stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,25.46,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0
 10-12,0,0,0,0,0,6.69,0,0,0,0,0,3.44,0,3.86,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.06,0,1.83,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,40.8,0.63,0,0,3.9,0,0,0,0
 36-46,0,4.43,0,1.55,0.99,0,0,0,0.79,0.92,0,132.73,0,0,0,8.06,0,0,0,0
 48-58,0,8.96,0,5.05,5.33,0,0,0.44,0,1.44,0,193.75,0,0,0.52,7.43,0,0,0,0
 60-70,0,4.18,0.67,41.07,10.31,0,0,0,0,1.52,0,397.76,0,0,4.21,11.17,1.22,0,0,4.24
 72-82,0,0,2.69,26.92,11.04,0,0,0,0,6.52,0,377.17,0,0,0.83,8.66,0,0,0,0
 84-94,0,1.89,0,42.55,6.66,0,0,0,2.78,2.04,0,249.53,0,0,2.46,6.25,0,0,0,0
 96-106,0,2.4,1.54,5.69,3.22,0,0,0,0,4.2,1.48,176.16,0,0,0,7.42,0,0,0,0
108-118,0,1.35,0.85,16.19,12.26,0,0.54,0,0,2.63,0,223.22,0,0,0,1.71,0,0.83,2.87,0
120,0,0,0,17.61,9.11,0,0,0,0,0,3.16,367.75,0,0,0,9.98,0,0,0,0
