stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,31.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.81,0,0,0,7.18,0,0,0,0,0,0,0,0
 10-12,11.08,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,10.49,0,0,0,9.53,0,0,0,0,0,0,0,0
 14-21,0,4.8,0.98,1.8,0,0,1.56,0,0,0,0,0,0,2.23,0,0,4.9,20.8,0,0,0,0,1.79,2.44,0,1.74,6.85,0,0.92,9.35
 24-34,0,4.22,0,3.03,0,0.68,2.69,0,0,0,0,0,0,4.23,0,0,7.17,65.68,0.6,0,1.03,0,5.18,0,0,1.33,5.18,0,0,0
 36-46,0,0.69,0,5.47,0,0,0,0,0,0,0,0,0,8.89,0,0,0.6,64.33,1.09,0.83,0,0,5.61,0,0,0,7.67,0,0,0
 48-58,0,0,0,3.66,0,0,5.18,0,0,0.39,0,0,0,15.68,0.39,0.44,2.03,52.14,0.56,1.08,0,0,1.25,0,0,0,8.55,0,0,0
 60-70,0,1.21,0,12.53,0,0,9.88,0,0,0,1.2,0,0,15.97,0,1.84,0.63,45.7,0,0,0.62,0,0,0,0,0,14.41,0,0.66,0
 72-82,0,2.27,0,10.45,0,0,1.4,0,0.59,0,0,0,0,29.51,0.5,0,3.06,52.99,0.5,0.88,0,0,1.78,0,0,0,9.36,2.31,0,0
 84-94,0,3.55,0,16.39,3.35,0.97,2.93,2.66,0,0,0,0,0,35.4,0.58,0,0,40.82,0,0,0,0,10.62,0,0,0,3.89,0,0,0
 96-106,0,0,0,1.86,0.89,0,6.48,0,0,0,1.36,0.75,0,12.56,0,0,0.57,50.95,0,0,0,0,5.33,0,0,0,6.42,0,1.88,0
108-118,0,3.75,0,10.91,0,0,6.21,0,0,0,0.72,0,3.5,20.9,0,0,0.56,37.45,0.45,0,0,0,4.36,0,0.56,0,0,0,0,0
120,0,0,0,41.06,0,0,0,0,0,0,0,0,0,14.7,13.61,0,7.29,38.23,0,0,0,0,1.03,0,0,0,0,0,0,0
