stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.97,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.03,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,15.98,0,0,8.49,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,2.42,0.6,7.41,0,0,0
 36-46,0,0,0,0,0,0,1.72,0,0.81,0,0,0,0,2.53,0,0,0,26.78,0,0,0,5.3,0,5.21,0,0,0
 48-58,0,0,0,0,0,13.2,0,0,0,0,0,0,0,1.45,0,0.94,0.44,30.89,0,0.38,0,0,0,4.92,0,0,0
 60-70,0,0,0,0,0,50.38,0,0,0.72,0,0,0,0,1.07,0,1.08,0,69.65,0,0,0,0.6,0,34.63,0,0,0
 72-82,0,0,0,0,0,131.5,0,1,0,4.49,0,0.59,0,2.76,0,2.38,0,142.33,0,1.44,0,0,0,6.85,0,0,1.14
 84-94,0,0.7,0,0.75,0,129.14,0.66,0,0,5.77,0,0,0,1.71,0,3.13,0,117.11,0,0,0,5.49,0,19.84,0,0.57,0
 96-106,0,0,0,0,0,235.28,0,0,0,2.03,0,0,0,4.72,1.13,4.96,0,124.29,2.09,0,0,6.72,0,6.16,0,0,1.24
108-118,0,0.41,0,1.81,1.13,204.8,0,0,0,4.54,0,0,0.53,0,2.86,7.7,0,75.37,0,0,0,11.25,0,2.36,0.99,1.11,0
120,0,0,0,0,3.85,207.85,0,0,0,19.43,0,0,0,2.53,3.36,6.59,0,210.07,0,0,0,5.79,0,46.3,0,0,0
