stage,blastomeres,epidermis,eye,glial,immune,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,74.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.47,0,0,0,0,0,0,0,32.67,5.98,0,0,7.36,0,0,0,0
 10-12,0,0,14.93,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0
 14-21,0,0.83,0,0,0,0,0,0,10.91,0,0,0,0.85,0,2.28,0,0
 24-34,0,0.6,1.78,0.81,0,0,0.73,0.64,12.6,0,0,0,0,0,2.63,0,0
 36-46,0,0,0,0,0,0,0,0,11.27,0,0,6.26,0,0.64,2.09,1.11,0
 48-58,0,2.7,4.06,0,0,0,0.98,0.61,13.85,0,0.88,0,0,0,1.89,0,0
 60-70,0,2.85,0.95,0.75,0,0,0,0,10.83,1.36,0,0.69,0,0,3.74,0,0
 72-82,0,0,0.95,1.72,0.56,0,1.42,0,23.39,0,0,0,0,0,0,0,0
 84-94,0,0,9.01,2.82,0,0,1.43,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.61,1.87,0,0,0,1.79,0,14.05,0,1.63,0,0,0,0,2.09,0.81
108-118,0,0.59,3.77,5.82,0,0,2.35,0,6.1,0,0,0,0,0.52,0,0.48,0
120,0,0,0,9.91,0,4.64,2.22,0,19.33,0,0,0,0,0,0,0,0
