stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,61.27,1431.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.46,0,0,0,0,0,0,0,0,0,0
  5-6,85.71,1736.64,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.02,10.72,0,0,34.03,0,30.61,0,0,0,0,0,0,0,0,0,0
  7-9,38.18,30.69,134.8,0,0,190.92,0,0,0,0,0,40.19,0,0,0,0,0,0,0,0,0,0,0,1116.47,22.41,0,0,270.42,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.05,30.77,0,0,52.7,0,0,0,0,0,6.11,0,0,0,0,0,0,0,0,0,0,0,613.07,6.56,0,0,193.62,0,0,8.5,6.12,23.44,0,6.05,0,0,0,0,0
 14-21,0,0,5.05,44.98,11.56,23.39,0,0,0,7.98,6.72,0,1.52,0,0.92,0,0,0,0,34.61,0,0,14.89,350.77,6.8,2.22,4.63,19.57,0,4.69,0,64.68,1.29,2.84,61.53,109.74,0,0.98,0,0
 24-34,0.88,0,1.39,9.8,3.52,44.96,0,0,0,6.54,0,0,1.41,1.3,0,0,2.3,0.65,0,48.83,0,0,16.59,317.57,1.17,0.63,5.43,0,0,4.09,0,0,1,0,12.19,68.9,0,7.77,0,3.2
 36-46,0,0,0,3.05,0,31.22,0.76,0,0,15.01,0.56,0,0.82,2.77,6.81,0,0,0.83,0,25.73,0.58,8.52,7.04,206.83,1.09,0.6,0.9,0,0,12.93,0,1.78,0,0,0,42.26,0,4.29,0,0
 48-58,0,0,0,1.18,0,41.03,0.44,0.41,0.81,20.42,0,0,1.05,0,0.37,0,1.05,7.28,0,28.23,0,7.18,7.05,74.62,4.28,0,1.05,0,0,5.54,0,0,0,0,0,27.26,0,0.56,0,0
 60-70,0,0,0,7.75,0,24.96,0,0,1.69,20.93,2.49,0,0.66,0,0,0.68,0,0,0,61.72,2.03,1.04,4.25,45.4,2.42,0,0.65,0,0,8.12,0,0,0.6,0,0,12.91,1.31,1.7,0,0
 72-82,0,0,0,1.74,6.54,3.41,0,0,0.56,25.13,0.5,0.55,0,0,0,1.79,1.06,0,0,49.02,0,0,7.2,22.1,0,0,2.85,0,0,2.62,0,0,0.55,0,0,1.93,2.71,5.35,1.2,0
 84-94,0,0,0,7.44,5.27,9.71,0,0,0.59,7.43,0.96,0,0,2.13,1.16,0,0,0,0,44.1,0,2.42,2.31,20.12,0,0,1.84,0,0,8.45,0,0,0,0,0,6.57,1.79,15.01,5.87,0
 96-106,0,0,0,3.6,4.42,11.84,10.06,0.66,0,26.77,0.66,0,2.51,0.62,2.11,0,1.02,0,0.69,40.53,0,2.58,14.26,4.63,0,0,5.19,0,0,7.15,0,0,0.67,0.6,0,4.7,0,6.35,0.64,0
108-118,0,0,0,3.62,0,10.14,0,0,2.11,15.72,0,0,1.12,1.29,0.64,0,0,0.5,0,40.82,0,0,8.83,10.85,0,0,0.71,0,1.83,1.76,0,0,0,0,0,0,0.66,11.8,0,0
120,0,0,0,3.12,3.54,5.59,0,0,0,29.65,0,0,0,2.34,0,0,0,0,0,54.75,0,0,0,26.08,1.25,0,5.24,0,0,1.09,0,0,0,0,0,0,0,1.96,0,0
