stage,eye,immune,neural,spinal_cord,vasculature
 10-12,0,0,4.01,0,0
 36-46,0.81,0,0.56,0,0
 48-58,0,0,1.6,0,0
 60-70,0,0,11.59,1.21,1.54
 72-82,0,0,15.08,0,0
 84-94,0,0,8.14,0,0
 96-106,0,0,2.55,0,0
108-118,1.48,0.6,4.07,0,0
120,0,1.91,26.88,0,0
