stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.22,38.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.4,113.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.25,0,0,0,0,0,0,14.92,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,75.53,4.06,0,0,20.43,0,3.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.56,0,0,0,31.75,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.78,21.04,5.54,0,5.36,0,0,5.73,0.97,0,0,0,0,0,0,0,0,14.46,0,0,11.6,129.29,9.34,5.23,0.95,4.28,0,23.94,10.11,0,6.44,28.8,48.41,0,0,2.61,0,0
 24-34,0,0,0.75,0,4.13,0,0,36.57,2.31,0,7.12,0,0,0,4.27,1.4,0,0,0,3.31,25.75,0,0,14.93,251.2,1.47,2.38,3.03,0,0,47.11,0,1.38,0.98,6.75,42.92,0,0,9.14,0,0
 36-46,0,0,0,0.56,12.68,4.16,0,67.28,3.44,1.58,5.23,0,0,1.34,1.95,9.55,0,0,0.78,0,39.38,0,1.57,8.84,188.95,0,1.38,0,0,0,65.73,0,0,0,0,48.93,0,0,16.6,0,0.81
 48-58,0,0,0,0,10.73,0,0,59.42,2.46,1.6,3.97,0,0,0.42,0.54,0.48,0,0,0,0,43.78,0,0.4,5.28,142.32,1.48,0,1.28,0,0.73,59.14,0,0,0,0,28.99,0,0,9.95,0,0
 60-70,0,0,0,0,10.24,0,0,88.19,0,0,5.48,1.91,0,0,4.15,0,0,0,0,0,28.52,0,5.24,0,100.22,0,0.96,0,0,1.22,19.49,0,1.95,0,0,19.18,0,1.03,1.74,0,0
 72-82,0,0,0,0,8.92,0,0,35.87,0,2.3,10.45,0,0,2.3,2.04,1.16,0,1.85,0,0,36.41,0,0,0,83.84,0,0,1.99,0,0,13.8,0,1.23,0,0,6.61,0,2.18,1.04,0,0
 84-94,0,0,5.06,0,19.76,1.51,0,53.75,0.78,1.84,17.54,7.2,0,0,12.22,1.75,1.03,4.61,2.64,0,21.59,1.21,4.37,5.23,78.77,0,0.97,1.5,0,0,35.28,0,0,0,0,10.41,0,0,0,2.9,0
 96-106,0,0,0,0,6.99,1.3,0,14.13,0.56,3.66,10.7,0,0,0.97,2.07,0.63,0.59,1.3,0.85,0,21.8,2.12,0,5.79,38.42,0,2.2,0,0,0,13.44,0,0,0,0,5.84,0,0,0.71,0,0
108-118,0,0,3.31,0,8.3,2.9,2.34,21.3,2.82,0,9.3,3.58,0,0.63,6.33,2.08,5.42,0.81,0,0,20.92,0,1.4,0,51.2,2.15,3.02,1.31,0,0,5.81,0,0,0,0,1.58,1.25,0,1.19,0,3.21
120,0,0,0,0,3.19,1.9,0,40.64,5.64,0,17.29,4.39,0,2.11,29.58,0,8.34,0,0,0,45.29,0,2.22,3.24,151.46,0,1.99,0,0,0,16.65,0,0,0,0,22.85,0,0,0,0,0
