stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,292.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,165.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.34,0,0,0,0,0,0,0,0,4.21,0,0,0,0,0,0,0,100.11,0,0,16.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.98,0,0,0,16.72,0,0,0,4.67,0,0,0,0,0,0,0,93.2,0,0,44.36,0,0,0,0,0,5.09,0,0,0,0
 14-21,0,0,0,1.12,0,1.77,0,0.93,0,0,0,0,0,0,0,0,1.83,24.76,0,0.86,0.83,0,0,3.93,0,5.37,12.14,0,0,0,0
 24-34,0,0,0,0,0.6,1.97,0,0,0,0,1.04,0,0,0,4.48,0,1.4,48.69,0,0,0,0,2.5,0,0,0.62,11.07,0,0,1.91,0
 36-46,0,0,0,0,0,6.43,0,4.85,0,0,0,0,0,0,4.12,0,0,33.85,0,0,0,0,2.21,0,0,0,10.77,0,0,0.65,0
 48-58,0,0,0,0,0,7.98,0,1.27,0,0,0,0,0,0,8.21,0,0.4,34.52,0,0.41,0,0,5.39,0,0.74,0,2.03,0,0,0,3.45
 60-70,0,0,0,0,0,9.72,0,0.82,0,0,0,0,0.69,0,2.12,0,0,13.04,0,0,0,1.08,0,0,0,0,5.79,0,0,0,0
 72-82,0,0,0,0,0,21.56,0,2.14,0,0,0,0,0,1.89,8.24,0,0,18.71,0,1.86,0,0,0,0,0,0,6.89,2.32,0,0,0
 84-94,0,0,0,0,0,0.56,0,0.84,0,0,0,1.16,0,0,5.97,0,1.42,3.3,0,0,0,0,1.67,0,0,0,2.07,0,0,0,0
 96-106,0,0,1.07,0,0,0.89,0,2.73,0,0,0,0,0,0,4.48,1.53,0,16.9,0.6,0,0,0.97,0,0,0,0,2.52,0,0,0.65,0
108-118,0,0,0,0,0,9.7,5.65,2.57,0.54,0,0,0.87,0.56,0,16.07,0,0,32.83,0,0,0,2.11,4.62,0,0,0,0,1.13,1.74,0,0
120,0,0,0,2.36,0,3.32,0,0,0,0,0,0,0,0,0,0,2.32,32.74,0,0,0,0,0,0,0,0,0,0,0,0,0
