stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.39,0,0,0,4.52,0,0,0,0,0,8.48,0,0,0,0,0,0,0,0,0,0,27.99,0,0,0,8.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,10.05,1.84,0,0.82,0,0,0,1.11,1.2,0,2.35,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0,0,2.71,3.24,0,6.43,14.1,0,0,0,0
 24-34,0,0,0,33.31,0,0,6.26,0,0.68,10.22,1.73,0,0,0,0,0,0,0,0,4.03,0,0,2.9,248.69,0.91,1.62,5.23,0,0.95,0,4,0,2.93,30.67,0,5.28,0,0
 36-46,0,0,0,6.51,7.25,0,10.83,0.57,19.27,15.02,7.91,0,0,0,1.95,0,0,0.99,0,9.31,0,0,0,614.88,0,0,6.21,0,0,0,2.28,0,0,63.64,0,0,0,4.28
 48-58,1.29,0,0,7.56,0,0,66.36,0,5.05,44.11,4.4,0,0,0,0,0,0,3.33,0,16.7,0,0.54,2.15,701.01,0.43,1.25,3.44,0,3.39,0,0.82,0,0,139.68,0,7.69,0,7.48
 60-70,0,0,0,1.81,0,0,169.61,0,19.96,70.47,7.61,0,0,0,0.83,0,0,9.04,0,41.11,0,0,8.19,863.56,0,0.99,0.69,0,23.42,0,0,0,0,409.01,0,2.06,0,23.05
 72-82,0,0,0,16.96,2.86,0,745.46,0,11.33,146.95,31.3,0.86,0,0,6.58,0,0,1.98,16.68,40,0,0,12.72,1580.56,2.37,4.14,8.92,0,64.61,0,3.14,0,0,621.99,2.58,0,0,0
 84-94,0,1.42,0,7.61,8.14,0,712.23,0,18.47,90.78,25.28,3.27,0,0.8,0.73,0,0,2.41,5.72,25.22,0,1.32,7.63,968.85,0,0,15.45,0,80.63,0,0.94,0,0,482.11,0.75,10.71,2.87,0
 96-106,0,1.37,0,16.7,5.1,1.52,1044.99,0,14.55,57.66,52.12,6.18,0,0,4.04,0,0.98,1.89,34.82,33.94,0,0.92,7.73,954.61,2.55,1.3,1.95,0,84.55,0,1.9,0,0,74.49,3.58,0,1.34,5.49
108-118,0,0,0,16.67,0.95,0,921.71,0,17.68,58.75,60.5,1.36,0,0,0,0.45,0,11.04,29.75,33.37,0.47,0,6.62,1546.38,0.62,1.63,3.36,0,50.07,0,2.43,0.94,0,137.78,3.44,2.32,0,0.6
120,0,0,0,20.73,0,2.66,583.36,0,8.56,60.83,11.93,0,0,0,0,0,0,9.41,32.25,83.64,0,0,4.21,1397.17,0,0,2,0,34.93,0,2.48,0,0,32.39,2.35,0,5.18,0
