stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.46,156.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,114.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.41,4.87,0,0,0,0,0,16.05,0,0,0,0,0,416.86,0,0,0,0,0,0,0,0,0,0,114.41,0,0,0,30.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.78,0,0,60.61,0,6.65,0,22.91,0,0,0,0,0,863.72,0,0,0,0,0,0,0,0,0,0,459.35,13.06,0,0,131.81,0,0,3.96,5.71,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.88,174.67,10.76,0,7.24,0,0,0,1.2,0,110.16,1.1,2.31,0,0,0,0,117.62,0,0,166.56,149.8,0,0.84,0.92,1.58,0,1.15,10.63,1.13,2.3,56.17,52.2,0,0,0.97,0,0
 24-34,0,0,1.72,0.67,21.41,1.54,0,22.04,0,10.26,7.32,2.61,2,6.75,3.6,11.94,0,0,0,0.62,307.12,0,0,207.7,474.61,0,27.47,1.16,0,0,0.66,0,0,2.99,7.45,100.78,0,0,29.4,0,0
 36-46,0,0,0,0,9.95,0.57,0,89.69,0,12.65,17.2,4.4,0,0.76,5.09,43.76,0,0,0,0,397.63,0,2.03,131.37,1132.51,3.66,41.97,1.15,0,0,3.1,0,0,0,0,238.41,0,0.85,13.33,0,1.54
 48-58,0,0,0,0,15.24,0,0,608.97,0,10.79,28.26,35.48,0,3.14,1.09,23.29,0,0,0,0.46,382.72,0,0.49,100.15,1461,0,8.16,0.37,0,0,4.09,0,0,2.56,0,241.21,0,0,4.77,0,0
 60-70,0,0,1.1,0,7.93,0,0,1860.4,1.17,25.58,19.7,24.64,0,0,1.6,75.82,0,0,8.62,0.73,557.52,0,11.56,44.17,1562.19,0,15.07,4.19,0,0,0,0,0,0,0,268.17,0,6.51,2.41,0.64,15.19
 72-82,0,0,1.59,0,17.9,8.12,0,2093.45,1.66,15.19,31.34,54.63,0.56,0,7.29,20.79,0,0.8,5.32,0,678.32,0.75,3.48,67.43,1469.58,0,17.81,1.91,0,2.35,2.32,0,0,0,0,179.39,0,10.38,21.18,0.92,8.12
 84-94,0,0,0,0,17.6,18.12,10.69,1419.78,1.79,9.71,33.94,73.7,0,3.92,10.22,72.68,1.41,0.79,0,0,697.05,0,8.67,40,1216.93,1.31,7.97,1.77,0,0,9.96,0,0,9.21,0,98.39,0,5.67,8.01,5.62,2.62
 96-106,0,0,0,0,23.01,26.69,0,1357.91,1.54,11.62,12.66,44.72,3.22,0,12.8,62.16,1.98,0,0.7,0,599.08,0.97,17.06,33.32,920.46,0.75,12.43,7.18,0,4.11,11.22,0,0.89,0,0,46.05,3.94,4.96,29.96,4.93,4.69
108-118,0,0,0.84,0.45,33.7,4.48,0,1255.84,1.43,21.14,15.49,65.08,5.09,0,8.64,90.79,2.02,1.7,1.42,1.88,761.72,5.43,10.03,29.36,1123.34,0,9.83,5.58,0,2.51,9.77,0,0,0.48,0,50.37,1.6,3.25,7.9,1.74,0
120,0,0,0,0,20.34,24.92,0,912.61,3.62,12.91,7.35,94.69,8.16,0,0,77.34,2.09,0,0,0,892.01,2.91,7.63,26.86,1801.67,0,5.09,0,0,0,2.63,0,0,1.63,0,51.2,0,0,5.74,4.27,0
