stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0
  5-6,17.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,9.17,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,0.95,0,0,0,0,0,3.05,0,0,0,0,0,0
 24-34,0,0,1.36,0.76,0,0,0,0,0,0,0,0,4.19,0,0,9.32,0,0,3.52,0,0,0
 36-46,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,8.58,0,0,8.65,1.2,0,0
 48-58,0,0,0,1.3,0.65,0,0,0,0,0,0,0,0,0,0,2.12,0,0,10.34,0.68,0,0
 60-70,0,0,1.85,4.22,0,0,0,0,0,0,0,0,0.71,0,0,8.71,0,0,8.34,0,0,0
 72-82,0,0,0,6.46,0,0,0.5,0.7,0,0,4.08,0,9.17,0,0,2.24,0.51,0,11.46,1.73,0,0
 84-94,0,0,1.28,0.8,0,0,0,0,0,0,0,2.28,0,0,0,9.37,0,0,30.18,0,0,0
 96-106,0,0,0,1.5,0,0,7.58,0,0,0,0,0,1.51,0,0,0.96,0,0,29.39,0,0,0.68
108-118,0,0,2.39,6.6,0,1.14,0.53,0,0.79,0,0,0,2.88,0,0.75,8.61,0.86,0,25.05,0,0,0
120,0,0,6.06,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0,28.7,1.64,8.54,0
