stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,0,10.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.57,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.69,0,0,1.26,0,0,0,0,0,0,0,0,0,0,2.94,0,0.96,0,0,11.93,0,0,0,0,0,0,1.18,0,5.99,6.89,3.41,0,0,0
 24-34,0,0,0,1.44,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,15.72,0.65,0,0,0,0,0,0,1.45,0.63,1.16,0.7,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,3.19,0,2.35,0,4.99,0,0,0,0,7.97,0,0,17.61,0.88,0,0,0,0,0,0,0,1.86,0,11.09,0,0,0
 48-58,0,0,0,0,0,0,0,0.86,0,3.2,0,0,0,10.45,0,0,0,0,0,0,0.6,0,0,28.21,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0
 60-70,0,0,0,0,11,0,0,6.77,0,0,0,0,0,4.97,0.7,0.62,0,0,0,0,35.23,0,0,22.91,0,0,0,0,0,13.08,0,0,0,0,0,1.03,0,0
 72-82,0,0,0,0,20.11,0,0,1.96,0.76,5.7,9.83,5.77,0,1.18,1.12,0.74,0,0,0,0,15.98,0,3.08,33.66,0,2.57,1.29,0,0,0.58,0,0,4.35,0,0,0,0,0
 84-94,0,0,3.08,0,16.63,1.45,0,3.08,0,4.65,0,1.05,0,0.6,0,0,0,0,0.57,19.19,1.03,0,0,8.88,0,0,2.58,0,3.75,3.41,0,0,0,0,0,0,0.62,0.55
 96-106,0,0,0,0,15.82,0,0.94,6.83,2.3,1.2,3.06,1.23,0.59,0,0,0,0,0,0,8.41,14.76,0,1.04,24.54,0,2.48,0,0,0,2.66,0,0,0,0,0,0,0.81,0
108-118,0,0,0,0,30.94,0.75,0.49,3.99,0,4.34,3.5,2.53,2.5,0,0,0,0,0,0,6.2,22.72,0,8.88,18.45,0,0,0.42,0,0,2.53,0,0,2.28,0,0,0,0,0
120,2.82,0,0,0,198.16,4.57,0,0,2.24,24.06,6.92,10.1,1.19,0,0,0,1.11,4.16,0,0,150.05,4.31,45.12,90.77,4.03,1.11,9.75,0,0,18.99,0,0,0,0,0,2.35,0,0
