stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,15.33,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,6.94,0,0,0,0,0,0,0,0
 10-12,8.25,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,3.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.94,0,0,0,0,0,0,0,4.28,0,0,0,0,0,4.94,2.39,0,0,0,0
 24-34,0,0,0,0,0.6,0,0,0,0,1.55,0,0,17.84,0,0,0,0,0,2.77,0,3.98,0,0,0
 36-46,0,0,0,0,9.2,0,0,1.13,0,1.64,0,1.87,50.54,0,0,0,0,0,0,0,2.73,0,0.56,0
 48-58,0,0,0,0,27.82,0,0.86,8.73,0,12.36,0,1.51,137.33,0,0,0,0,0,0,0,5.95,0,0,0
 60-70,0,0,0,0,103.59,0,0,12.9,0,3.76,2.94,2.91,251.59,0,0,0,0,0.94,0,0,3.64,0,0,1.46
 72-82,0,0,3.36,0,122.89,0,0,13.39,2.91,37.98,0.72,6.21,418.92,0.73,0,0,0,0,0.66,0,1.65,1.84,0,2.63
 84-94,0,0,0.6,0,147.06,0,0,14.99,0,25.01,4.04,0.77,211.32,0,0,0,0,0,0,0,3.85,2.24,0,2.65
 96-106,0,0,1.7,0.56,173.4,0,0,35.9,0,34.08,0,2.22,240.4,0,1.14,0,4.11,0,1.29,0,3.71,0,0.84,3.87
108-118,0,0.74,1.65,0,223.23,0,3.23,25.16,0,26.07,0.69,4.11,262.32,0,0,0,0,2.54,2.41,0,14.51,6.37,0,5.66
120,0,0,0,0,136.36,1.58,0,3.25,0,47.66,28.3,3.76,317.35,0,0,0,0,0,0,0,12.88,0,0,1.8
