stage,epidermis,eye,glial,mesenchyme,neural,olfactory,periderm,spinal_cord
 14-21,0,0,0,0,0,0,0,1.06
 24-34,0,1.17,0,0,26.95,0,0,2.29
 36-46,0,0,0,0,47.32,1.11,0,5.74
 48-58,0,11.79,0,0,64.14,0,0,10.27
 60-70,0,23.63,2.76,0,100.65,0,0,17.86
 72-82,0,87.24,0.92,6.76,111.55,0,0,5.04
 84-94,0,38.06,0.68,1.32,101.1,0,0,7.03
 96-106,0,41.76,0,0,64.07,1.34,1.09,2.94
108-118,1.19,36.94,4.04,2.62,44.42,1.56,0,1.2
120,3.29,29.39,14.01,5.89,121.11,12.05,0,0
