stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,9.94,59.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.05,0,0,0,0,0
  5-6,0,36.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,29.43,0,0,6.57,0,0,0,44.26,0,0,0,0,0,0,0,87.07,0,0,0,28.65,5.09,0,0,0,0,0
 10-12,0,0,0,9.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.06,0,0,0,0,0,0,0,3.24,0,0
 14-21,0,0,0,0,4.54,0,0,0,0,0,0,0,1.43,0,0,0,1.12,6.84,3.77,1.88,1.55,0,18.71,7.02,10.42,0,151.21,0,0
 24-34,0,0,1.35,0,0,0,0,0,1.78,0,0,0,33.99,0,0,10.92,0.79,35.17,9.53,0,0,1.55,0,13.75,0,0,39.27,1.86,0
 36-46,0,0,0,0,0,0,1.21,0,0,0,0,0,15.54,0,0,7.15,1.35,4.6,20.74,0,0.93,0,0,9.18,0,0,0,2.67,0
 48-58,0,0,0,0,0,0,2.63,0,0.39,2.07,0,0,26.83,0,0,5.52,0,1.86,60.65,0,0,0,0,3.69,0,0,0,1.4,0
 60-70,0,0,0,0,0,0,0.86,0,0,0,0,0,9.13,0,0,12.87,0,2.13,60.96,0,0,1.27,0,3.35,0,2.25,0,1.31,0
 72-82,0,0,0,0,1.36,0,8.42,0,0,0,0,0,24.28,0,0,9.43,0.71,5.28,46.67,0,0,0,0,11.93,0,2.85,0,0,0
 84-94,0,0,0,0,5.74,0,6.79,0,0,0.71,0,0,47.06,0,0,10.68,0,6.19,33.15,0,1.87,0,0,39.87,0,7.05,0,0,0.63
 96-106,0,0,0,0,23.87,5.69,2.51,0.57,0,0,0,0,41.99,0,0,4.07,0,4.51,25.44,0,0.81,0,0,31.04,0,11.06,0,1.99,0
108-118,0,0,0,0,2.66,0,15.09,0.9,0,0.86,0,0.6,63.95,0.56,0,0.6,1.32,2.71,51.61,0,1.07,0.78,0,24.9,0,6.69,0,2.39,0
120,0,0,0,0,12.19,0,8.39,4.67,0,1.62,0,0,33.66,0,5.54,2.33,0,0,10.12,0,2.34,0,0,3.3,0,16.79,0,0,0
