stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  3-4,21.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.95,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,12.01,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,8.25,0,0
 14-21,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0.82,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,0,0,0.81
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0
 60-70,0,0,0.67,0,0,2.36,0,4.37,0,0,0,0,0,0.78,0,0,1.42,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0.91,1.16,0,0,0,0
 84-94,0,0,0,0,0,0,1.27,0,0,0,0.75,0,0.58,0,0.98,0,0,0,0,1.44,0
 96-106,0,0,0,0,0,1.26,0,2.13,0,0,0,0,0,2.68,0,0,1.74,0,0,2.28,6.05
108-118,0,0,0,0,1.48,0,0,1.23,0,0,0,1.04,0.43,1.27,0,0,0,0.42,0,0,0
120,0,0,0,8.42,1.61,0,0,0,0,0,0,0,2.98,0,0,0,4.89,0,0,0,0
