stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,32.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,56.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.51,0,0,0,8.77,0,0,26.19,3.96,0,0
 10-12,0,4.92,0,0,0,0,0,0,0,0,0,18.32,10.62,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0
 24-34,0,0,0,0,0,0,1.21,0,0,0.84,0,14.32,0,0,0
 36-46,0,0,0,0,0,0,0,0.85,0,0,0.65,7.06,0,2.84,1.04
 48-58,0,0,0,0,0.46,0,0,0.87,0,0.4,0,6.28,0,2.62,0.5
 60-70,0,0,0,0,2.9,0,0,0,0,0,0,21.75,0,1.97,0
 72-82,0,0,0,0,2.22,0,0,0,0,0,0,3.13,0,1.01,0
 84-94,0,0,0,0,0,0.88,0,0,0,0,0,0,0,2.99,0
 96-106,0,0,1.94,0,7.25,0,0,2.11,0,4.81,0,0,0,2.81,0
108-118,0,0,0,2.01,3.76,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,0
