stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,1.42,0,0,2.04,0,0,0,0,0,0,0,0,0,25.34,0,0,0,0,1.11,0,0.86,30.4,0,1.35,0,0
 24-34,0.6,0,0,0.87,0,0,0.66,0,2.15,0,0,0,0,3.14,0,0,218.2,0,2.31,0,0,0,0.85,1.59,53.6,0,2.14,0,0
 36-46,0,0.65,0,16.94,0,0.67,3.8,0,0,0,0,0,0,5.88,0,0,385.63,0,2.6,0,1.16,0,0,0,80.89,0,10.3,0,7.95
 48-58,0,2.41,0,78.49,0.45,0,22.66,0,0,0,0,0.44,0,4.89,0,0.91,463.56,0,0.7,0,0,0,0,0,95.13,0,0.43,0,2.13
 60-70,0,0,0,174.18,0,1.48,8.65,0,0,0,1.86,0,0,14.79,3.05,5.2,420.73,0,0.84,0,0,0,1.45,0,93.39,0,0.59,2.04,0
 72-82,0,0.69,0,278.46,0,0,18.14,0.56,0,0,1.99,0,0,17.4,0,1.06,484.27,0,0,0,0,0,0,0,46.02,0.62,1.09,0,0.63
 84-94,0.73,4.59,0,192.86,0,0,15.58,0,0,0,0.64,0,0.6,12.6,1.14,1.5,416.93,0,0,1.29,1.72,0,0,0,32.94,0,0,0,0.58
 96-106,0,0.86,0,171.52,0,0,27.82,0.92,0,0,1.46,0,0,19.8,0,0.95,233.24,0,4,0.93,0,0,0,0,27.87,0,0,2.39,3.35
108-118,0,0,1.32,115.84,0,0.5,19.68,0,0,1.01,5.85,0,0,31.64,0,0.91,305.46,0,0,0,0,0,0,0,16.94,0,7.79,0,5.39
120,0,6.88,0,123.68,0,0,26.8,0,0,1.65,0,0,0,14.17,0,0,271.58,2.28,0,0,0,0,0,0,2.02,0,0,0,3.28
