stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,38.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.79,15.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.78,0,0,0,0,0,0,0,71.06,0,0,8.46,0,0,0,0,0
 10-12,0,0,0,0,19.96,0,0,0,0,0,0,0,43.09,0,0,22.89,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4.87,0,0,0,0,1.37,3.62,0,0
 24-34,0,0,0,0,3.89,0,0,0,0,0,0,0,15.68,0,1.35,0,0,0.65,8.97,0,1.28
 36-46,0,0,0,0,4.54,0,2.47,0,0,0,0,0,13.03,5.54,0,0,5.74,2.28,1.84,0,4.56
 48-58,0,0,0,0,0,0.44,0.97,0,0,0,0,0,3.49,0.44,0,0,0,0,0,0,0
 60-70,0,0,0,0,7.42,0,5.63,0.72,0,0,0,0,3.91,2.62,0,0,0,0,0.8,0,0
 72-82,0,0,0,0,7.71,0,4.11,0,0.63,0,0,0,4.35,3.84,2.12,0,0,0,6.65,0,19.45
 84-94,0,0,0,0,0.58,0,0.59,0,0.55,0,0,0,1.33,6.33,0,0,0.57,0,0,1.21,0
 96-106,0,0,0,0.71,0,0,1,0,0.78,0.93,0,0.68,4.32,2.53,6.96,0,0,0,0.98,0,3.77
108-118,0,0,0,0,6.64,0,14.86,2.61,0,0,3.92,0,1.2,1.16,1.92,0,0,0,0,0,0.83
120,0,0,1.28,0,10.75,0,7.3,0,0,0,0,0,5.03,14.66,0,0,0,0,0,0,0
