stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.06,298.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,23.42,179.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.04,0,0,0,24.08,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.55,0,0,22.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.85,0,0,0,56.42,0,0,0,0,3.24,0,0,0,0,0
 14-21,0,0,0,0,1.95,1.72,3.75,0,0,0,0,0,2.29,0,0,0,0,0,2.97,0,0,13.11,50.84,2.85,0,0,3.52,0,0,4.67,0,3.65,20,0,0,0,0
 24-34,0,0,0,0,1.97,1.91,14.47,0,0,1.24,10.01,0,0,0,0,0,0,0,11.96,0,0,1.22,394.08,0.69,2.01,0,0,0,0,0,0,2.53,61.04,0,11.36,0,2.31
 36-46,0,0,1.4,0,17.67,7.2,151.01,5.74,0,7.86,9.14,0,0,0,0,15.69,0,4.9,6.23,0,0.83,4.79,524.91,0,0,0.58,0,7.92,0,0,0,0,93.74,0,1.33,0,0
 48-58,0,0,0,0,24.85,9.2,367.07,0.85,0,0,18.2,0.51,0,3.54,2.63,25.89,0,0,9.03,0,7.81,4.77,670,0,3.99,1.22,0,0,2.33,0,5.86,0,87.32,0,8.01,0,0.8
 60-70,0,0,0,0,11.75,18.76,1014.16,0,3.8,0,33.12,0,0,1.17,0,37.3,0,0,23.96,0,2.79,5.76,1169.32,0,3.96,15.13,0,0,9.89,0,1.91,0,103.02,0,0.7,0,0.7
 72-82,0,0,0,0,13.43,69.43,664.46,0.82,0,0,21.24,0.67,0,0,0,26.42,0,0,23.78,0,0,3.06,702.73,0,0.81,12.62,0,0,0,0,0,0,31.07,1.16,1.6,0,1.14
 84-94,0,0,0.66,0,4.81,109.78,413.71,10.21,0,0,32.86,0.75,2.85,1.52,0,7.31,0,7.48,9.04,0,0,3.28,344.64,0,4.45,1.26,0,0,0,0,0,0,54.6,5.07,2.75,1.13,0
 96-106,0,0,0,0,5.49,66.32,340.41,0,1.58,0,21.7,1.25,0,0,0,4.44,0,0.7,14.85,0,1.76,2.05,254.18,0,1.07,0,0,0,0,0,0,0,2.29,1.04,0,0.58,2.56
108-118,0,0,0,0,7.72,63.39,455.2,0,0.7,0,25.93,2.73,0,0,1.01,26.87,0,2.08,2.05,0.53,1.88,1.57,347.74,0,3.16,2.07,0,1.82,0,0,0,0,4.77,5.59,0,1.05,0.68
120,0,0,0,0,8.52,84.46,373.21,0,15.75,0,58.67,0,0,3.54,0,52.22,4.23,9.76,6.24,0,0,10.55,1207.83,0,2.15,3.63,0,0,0,0,0,0,50.77,3.65,23.31,0,0
