stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,19.45,37.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.07,146.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.69,7.72,0,4.07,0,0,0,13.08,0,0,0,0,0,20.33,0,0,0,0,0,0,0,0,0,0,182.06,10.43,0,0,32.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,13.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.78,11.32,0,0,19.54,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.8,0,0,4.02,0,0,0,0.93,0,0,0,0,0,0,0,0,2.16,0,0,0.89,8.64,0,0,0,1.81,0,0,1.69,0,2.24,5.09,0,0,0,0,0
 24-34,0,0,0,0,4.49,0,0,4.16,0,0,0,1.62,2.5,0,2.45,0,1,0,3.08,0.65,3.69,0,0,1.11,38.61,0.65,2.99,0.95,0,13.38,0,0,2.86,0,4.69,0,0,3.28,0,0.86
 36-46,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,1.06,0,0,0,0,0,12.67,0,0,0,48.54,0.56,0,5.19,0,19.1,0.81,0,0,0,4.38,0,0,0,0,0
 48-58,0,0,0,0,1.94,0,0,18.5,0,0.78,0,0,12.27,0,0,0,0,0,0.78,0,9.81,0,0,3.45,41.24,0,0.42,0,0,4.12,0,0,0,0,4.14,0,0,3.78,0,0.53
 60-70,0,0,0,0,10.49,0,0,32.16,0,2.72,0,2.52,0,0,0,0,0,0,0,0,17.35,0,0,0.94,61.02,1.36,0.96,3.17,0,6,0,0,0,0,8.38,0,0,15.35,0,2.08
 72-82,0,0,0,0,0.66,0,0,30.21,1.29,0,0,15.48,0,0,0,0,0,2.14,0,0,13.08,0,0.55,0,74.7,0,0,0,0,9.8,0,0,0,0,7.36,0.94,0,3.19,2.37,2.08
 84-94,0,0,0,0,0.73,0.86,0,9.64,0,0,0,9.57,0,0,1.1,0,0,0,0,0,20.73,0,0,0,28.84,0,4.36,0,0,6.36,0,0,0,0,2.42,0,0,1.08,0,0
 96-106,0,0,0.81,0,2.75,7.05,0,6.24,0,0,0,7.45,0,0,0,0,0,0,0,0,4.21,0,0,0,10.61,0,0,2.71,0,7.74,0,0,0,0,0,0.99,0,3.57,0.83,0
108-118,0,0,0,0,1.63,0,1.7,21.17,0,0,0,4.12,4.72,0,0,2.94,0,0,0,0,18.48,0,0,0,41.68,0,0,0,0,11.69,0,0,0,0,0,0,4.23,6.52,0,0
120,0,0,0,0,4.55,0,0,43.02,0,0,8.73,4.74,0,0,0,9.12,0,0,0,2.93,22.74,1.12,3.2,10.68,124.59,0,0,0,0,8.38,0,0,0,0,7.24,0,0,0,0,0
