stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,29.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0
  5-6,10.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.26,0,0,3.12,0,0,0,0,0,0,0
 14-21,0,0.88,0,0,0,0,0,2.74,0,0,0,0,0.94,1.69,0,5.27,2.68,0,0,0,0,1.94,0.82,0.83,0.91,0,0
 24-34,0,1.71,0.9,0,0,0,0,0,0,0,0.64,0,0,13.41,0,19.01,34.33,3.66,0.86,0,0,0,0,0,7.85,0,0
 36-46,0,0,3.3,0,0,2.51,0,0,0,0,0,0,0,3.81,0,6.93,17.3,11.53,0,0,0,0,0,0,3.82,0,0
 48-58,0,5.43,4.68,0,0,0.69,1.54,0,0,0,0,0,0,6.03,0,2.53,26.02,1.91,1.77,0,0,0,0,0,3.42,0,0
 60-70,0,0,5.27,0,0.68,3.34,0,0,0,0,0.77,0,0,25.94,0,0,7.43,2.89,1.58,0,0,0,0,0,1.86,0,0
 72-82,0,0,4.35,1.74,1.36,0,0.59,0,0,0,0,0,0,5.69,0.81,0,11.41,12.86,2.5,0,0.65,0,0,0,0.93,0.72,0
 84-94,0,0.83,1.27,0,0,1.41,0.63,0,0,0,0.84,0.57,0,5.41,0,1.55,1.83,9.09,0,0,0,0,0,0,0,0,0
 96-106,0,1.1,0.65,0,0,0,0,0,1.29,0,0,0,0,2.4,0,2.68,4.96,4.01,0,0,0.67,0,0,0,0,0,0.62
108-118,0,0.99,3.58,0,0.59,0.93,0,0,0.58,0,0,2.54,0,2.11,0,2.06,4.3,32.9,0,0,1.09,0,0,0,0,0,0
120,0,4.75,6.29,0,0,9.96,0,0,5.82,12.67,1.88,0,0,12.25,0,19.97,11.21,57.27,0,0,0,0,0,0,0,0,0
