stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,82.66,1147.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.16,0,0,0,0,0,0,0,0,0
  5-6,22.91,504.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.08,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0
  7-9,5.7,4.3,0,7.98,0,0,23.06,0,0,0,0,0,5.47,0,0,0,0,0,0,254.01,21.48,0,0,42.25,0,3.79,0,0,0,0,0,0,0,0
 10-12,0,3.1,0,4.52,0,5.31,11.1,0,0,0,0,0,0,0,0,0,0,0,0,654.81,36.97,0,0,75.99,0,0,0,31.92,0,6.79,0,0,0,0
 14-21,0,0,4.42,0,18.01,11.13,0,0,0,0,157.79,0,0,0,0.81,0,17.2,0,0.95,97.64,6.72,10.97,17.52,10.12,0,3.34,5.2,121.14,0,500.4,0,0,0,0
 24-34,0,0,0,0,2.27,0,2.91,0,0.7,0,99.62,0,0,0,0,2.21,4.72,0,1.31,145.93,0.75,51.37,5.44,0,0,0,0,127.02,3.36,217.58,0,0,0.6,0
 36-46,0,0,0.94,0,18.12,0,2.2,0,5.04,0,50.87,0,0,0,0,0.89,0.72,0,0.59,115.64,0,108.71,3.96,0,0,0,0,44.77,0,137.8,0,0,0,0
 48-58,0,0,0,0,0,0,12.33,0,1.48,0.42,51.18,0,0,0,0.38,1.61,0.85,0,0,43.24,0,63.63,3.21,0,0,0,0,15.49,0,131.03,0,0,0.53,0
 60-70,0,0,0,0,1.69,0,4.37,0,4.8,0,73.64,4.12,0,0,0,5,5.31,0,0,31.9,0,80.3,7.38,0,0,0,0,12.33,0,59.27,0,0,0.83,0
 72-82,0,0,5.19,0,0.61,0,9.12,0,1.62,0,80.26,3.85,0,0,0,5.78,6.8,0.54,0,53.59,0,91.25,31.52,0,0,0,0,5.72,0,28.87,0,0,0,0
 84-94,0,0,11.7,4.03,1.73,0,15.44,0,2.12,0,44.5,10.22,0,2.21,0,3.32,2.39,0,0,25.29,0,104.79,13.03,0,1.75,0,0,9.45,0,37.94,0,0,0,0.87
 96-106,0,0,2.6,4.06,2.66,1.37,6.07,0,0,0,54.77,10.62,0,0,0,12.06,1.28,0,0,19.37,0,161.19,20.55,0,1.37,0,0,2.15,0,32.12,0,0,0,0
108-118,0,0,3.08,4.68,1.67,0,12.8,1.47,0,1.82,27.59,6.65,0,0,0,10.78,0,0,0,23.47,0,89.16,12.75,0,0,0,0,8.44,0,11.99,1.17,0,0.61,0
120,0,0,3.73,3.17,2.24,0,12.36,0,0,0,31.18,11.14,0,0,0,8.39,0,0,0,40.48,0,114.4,23.15,0,0,0,0,30.44,0,15.96,1.37,3.03,0,0
