stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,3.39,0,0,0,0,0,0,0,0,0,0,0,0,1.32,0,1.13,13.36,0,0,0,0,3.78,1.08,6.85,0,0,0
 24-34,0,0,0,0.63,0,0,0,0,0,1.34,0,0,0,0,0,0,26.23,0,0,0,0,0,0,8.37,0,0,0
 36-46,0,0,10.79,0,0,0,0,0,0,0,0.57,0,0,2.79,0,0.63,67.18,0,0,0,0,0,0,8.56,0,5.55,0
 48-58,0,0,20.99,0,0,1.15,0.64,0,0,0,0,0,0,11.05,0.6,1.45,86.8,0,0.38,0,0,0,0,15.78,0,0.82,0
 60-70,0,0,57.72,0,0.86,5.63,0,0,0,0,0,0,0,5.64,0,0,127.78,0,0,0,0,0,0,16.66,0.69,2.2,0.87
 72-82,1.16,0,37.49,0,0,4.33,0,0,0,0,0,0,0,11.06,0,0,103.15,0,0,0.71,0,0,0,3.47,0,0,0
 84-94,0,0.86,12.19,0,0,3.6,0,0,0,0.75,0,0,3.35,5.12,0.82,0,25.72,0,0.97,0,0,0,0,0,2.45,0,0
 96-106,1.05,0,10.59,0.86,0,12.19,0,1.57,0.78,0.6,0,0,0,7.36,1.05,0,32.86,0,0,0,0.98,0,0,0,0,0,0
108-118,1.64,0,17.02,0,0.56,4.94,0,0.69,0,0,0,0.55,0,9.22,0,2.91,40.63,1.58,0,0.87,8.3,0,0,4.59,0,0,0
120,1.12,0,16.74,0,0,0,0,0,0,0,0,0,5.95,0,1.26,1.12,75.52,0,0,0,0,0,0,0,0,0,0
