stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord
  3-4,26.1,94.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,173.38,10.68,0,0,0,0,0,0,0,14.14,0,0,0,0,0,0
  7-9,0,5.34,8.66,0,0,9.45,0,0,0,0,0,0,3.25,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,16.74,0,20.73,0,12.28,0,0
 14-21,0,0,0.83,0.96,1.78,0,0,0,0.99,0,3.56,0,0,0,0,0.87,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0.65,0,0,0.92
 36-46,0,0,0,0,0,0,0.92,0,0,0,1.21,1.31,0,0,0,0,0
 48-58,0,0,0,0.45,0,0,0,0,1.07,0,1.29,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.75,1.56,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.65,0,4.29,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.43,0,2.28,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77
