stage,epidermis,eye,glial,mesenchyme,muscle,neural,presomitic_mesoderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,1.04,1.55,2.02,0
 24-34,2,0,0,0,0,4.81,0,0,0
 36-46,6.4,0,0.89,1.18,0,4.44,0,0.65,0
 48-58,0,1.04,0.56,0.42,0.42,2.99,0,0,0
 60-70,0,1.99,1.97,0,1.16,0.57,0,0,0
 72-82,0,2.59,0,0,0,3.13,0,0,0.71
 84-94,0,4.56,2.83,0,0,2.77,0,0,0
 96-106,0,0,0,1.24,0,0,0,0,0.88
108-118,0,1.11,0,0,0,1.11,0,0,0
