stage,axial,blastomeres,endoderm,eye,neural,periderm
  3-4,0,137.34,0,0,0,17.48
  5-6,21.58,65.35,0,0,0,0
  7-9,0,0,7.63,0,26.55,0
 10-12,0,0,0,0,4.63,0
120,0,0,0,1.26,0,0
