stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature
  3-4,14.74,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.81,0,0,0,0,0,0,0,13.57,0,0,0,0,0
 10-12,0,9.14,0,0,14.91,0,0,0,3.24,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.16,0,3.5,0,0,0
 24-34,0,0,0,0,1.26,0,0,0,5.82,0,0,2.56,0,0
 36-46,0,0,0,0,0.89,0,0,0,7.48,0,0,1.12,0,0
 48-58,0,0,0,0,4.77,0.39,0,0,4.24,0,0,0,0,0.93
 60-70,0,0,1.26,0,1.17,0.85,0,0,1.65,0,0,2.25,0,0
 72-82,0,0,0,0,0,0,0,0.95,7.67,0,0,0,0,0
 84-94,0,0,0,0.56,2.33,0.73,0,0,0.7,4.21,0,0,0,0.86
 96-106,0,0,0,0,0,0,6.07,0,3.2,0,0,0,0,0
108-118,0,0,0,0,0.56,0,0,0,3.25,0,0,0,1.55,0
120,0,0,0,0,0,0,7.6,0,3.22,0,0,0,0,0
