stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,0,8.74,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,42.48,0,0,0,0,0,0,0,62.83,0,1.53,0,0,0,0,81.2,0,0
 24-34,0,0,4.28,0,0,0,49.75,0,0,0,0,6.68,0,0,241.38,8.11,0,0,0,0,0.69,252.86,2.22,0
 36-46,0,0.89,9.26,0,0,0,46.03,0,0,0,0,3.1,0,0,374.58,7.45,1.31,0,0,0,0,349.35,0,0
 48-58,0,2.02,16.05,0,7.59,0,39.09,0,0,0,0,7.2,0.5,0.59,207.26,2.87,2.37,0,1.62,0,0,148.98,0,0
 60-70,0,0,2.6,0,0,0,15.33,0,0,1.57,0,1.53,0,0,184.27,1.12,0,0,0,1.06,0,49.63,0,0
 72-82,0,2.33,23.05,0,0,0,29.62,0.94,0,0,0,1.72,0,0,168.84,7.38,7.7,0,0.81,0,0,45.27,0,0
 84-94,0,0,13.38,0,0,0,13.11,0,0,0,0,3.05,0,0,124.69,13.55,3.78,0,0,0,0,23.17,0,0
 96-106,0,2.16,6.49,0,0.57,0,28.17,0,0,3.31,0.78,2.6,0,0,185.63,8.72,2.18,0,5.67,0,0,16.89,0,1.17
108-118,0,1.22,14.98,0.59,0,1.52,46.46,1.91,0,3.12,0,2.05,0,0,245.62,5.91,18.54,0,0,0.43,0,21.39,0,0
120,0,0,13.93,0,0,0,42.17,0,5.28,2.98,0,0,0,0,491.37,3.26,4.12,0,0,0,0,11.62,0,0
