stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.97,0,0,0,0,0,0,0,0,0,0
  5-6,15.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.71,0,0,0,10.62,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,113.38,0,0,0,28.55,0,0,0,27.4,0,0,0,0,0,0,0,0
 14-21,0,1.32,7.78,50,6.14,0,0,0,0,0,0,1.13,0,0,0,0,0,18.04,0,0,2.52,118.6,0,0,6.01,0,0,0,0.83,0,0,0,44.57,0,0,20.79,0,0
 24-34,0,0,3.68,4.67,5.03,0,0,0,0,0,0,4.7,0,0,0,12.35,0,13.81,0,0,1.54,813.62,0,0,39.41,0,0,0.78,0,0.94,0,0.63,176.32,0,0,50.8,0,0.72
 36-46,0,0,4.11,0.58,9.77,2.34,0,0,9.48,0,0,5.52,0,0,0,11.45,0,11.15,0,0.8,5.06,3460.67,4.22,0,10.82,0,0,17.15,0,0.81,0,0,232.85,0,0,22.06,0,0.64
 48-58,0,0,26.44,0,166.32,0,5.37,1.45,94.58,0,0,5.46,0.48,0,0,15.01,0,35.72,0,1.03,16.36,6489.53,2.54,0.39,32.57,0,0,1.34,0,1.48,0,0,179.16,0,0,24.62,0,9
 60-70,0,0,5.85,0,271.36,2.32,6.21,0,53.21,0,0,6.99,0,0,0,5.93,5.7,47.67,0,22.28,2.42,9006.82,0,0,25.66,0,0,7.67,0,0,0,0,183.54,0.99,4.37,22.48,1.45,11.13
 72-82,0,0,14.42,12.88,462.71,0,0.61,0,72.83,4.39,0,5.52,0,0.84,0,3.65,1.35,70.04,0,4.29,8.92,6038.66,9.68,0,25.54,0,2.92,1.1,0,0,3.15,0,102.13,1.44,0,29.09,3.37,9.13
 84-94,0,0,17.75,1.38,338.62,0.6,0,0,89.63,1.68,0,8.88,3.17,0.56,1.27,2,1.62,75.39,0.59,8.31,0.8,3599.41,0,0,20.06,0,0,1.63,0,2.32,1.33,0,122.2,5.19,2.22,31.5,0,9.3
 96-106,0,0,22.56,9.73,213.58,1.53,3.55,2.8,19.25,1.14,0,6.73,0,0,0,3.77,0,62.24,0,3.7,5.26,2750.64,2.63,0,19.27,0,1.51,9.67,0,0,0,0,46.07,1.38,3.31,32.99,0,6.46
108-118,0,0,18.85,11,145.63,0,1.12,0,17.9,1.75,0,10.08,0,0,0,2.55,7.53,53.16,0,0,5.94,3350.38,0.69,5.45,22.11,0,0,0,0,0,0,0,32.01,1.65,4.39,22.62,1.22,1.05
120,0,0,68.42,0,275.62,37.52,0,1.82,126.13,0,0,16.18,0,0,0,0,0,90.35,0,12.49,4.24,5200.37,0,6.53,19.8,0,0,0,0,0,0,0,69.91,0,0,15.23,0,0
