stage,epidermis,glial,gut,immune,ionocyte,lateral_line,mucous,neural,olfactory,periderm
 24-34,0,0,0,0,0,0,0.7,5.04,1.38,0
 48-58,0,1.11,0,0,0.38,0,0,5.75,0,0
 84-94,0,0,0,0,0,0,1.79,2,0,1.63
 96-106,1.2,0,1.13,0.71,0,0,0.77,2.7,0.61,6.3
108-118,0.95,0,0,0,0,0.7,0,0,0,0
120,0,0,0,0,0,0,0,0,0,3.9
