stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.47,0,91.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306.44,80.25,0,0,329.7,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,40.74,0,202.64,0,36.23,0,19.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403.96,63.83,0,0,523.69,0,0,0,163.65,0,5.05,0,0,0,0,0,0
 14-21,0,2.25,0,3.44,63.94,204.73,0,48.09,0,0,0,15.58,4.96,9.14,6.33,0,0,0,2.08,8.8,370.05,0,0,338.65,905.72,74.26,0,15.08,114.76,0,0,46.86,2.53,13.39,102.64,315.52,0,0,94.2,0,14.12
 24-34,0,0,0,0,33.91,17.44,0,35.7,0,4.15,46.28,53.33,1.22,6.21,7.32,2.37,12.17,0,5.31,17.71,926.8,0,0,574.17,889.36,215.51,1.7,12.1,0,2.91,5.99,1.82,3.16,2.12,93.28,240.46,0,0,353.42,0,13.69
 36-46,0,0,0,0,53.26,2.02,0,27.49,0,1.71,159.94,82.32,0,16.05,22.17,0,10.08,0,0,1.99,1178.33,0,3.96,508.65,599.34,160.96,0,9.54,0,1.69,12.15,2.07,0,0,0,192.12,0,0,320.93,0,22.23
 48-58,0.77,0,0,0,22.67,0.88,0,48.98,0,28.77,156.99,139.28,0,19.99,12.41,0,13.24,0.58,1.02,0.98,1061.9,0,5.24,178.82,341.2,75.16,6.1,6.38,0,0.4,1.15,0,0,1.3,0,162.39,0,2.29,126.99,0,29.03
 60-70,0,0,0,0,34.74,0,0,64.38,0,17.93,151.34,150.41,0.63,13.21,27.44,0.62,9.64,2.2,4.55,0,1780.59,0,16.12,124.27,236.45,55.48,0,5.92,0,15.26,0,0,0,0,0,49.93,0,15.52,133.68,4.92,19.48
 72-82,0,0,0,0,22.31,9.33,0,50.56,1.41,7.05,141.14,254.68,0.53,35.54,39.26,1.58,8.15,0,5.43,7.37,1586.4,0.56,28.25,63.78,199.89,36.67,1.64,10.96,0,12.02,0.96,0,0,0,0,8.04,2.8,23.44,201.27,18.42,43.86
 84-94,0,0,0,0,48.07,0.84,0,92.37,1.47,10.97,106.9,228.76,0.62,11.54,53.95,4.1,15.14,1.05,0,7.58,1563.42,0,49.69,75.71,218.94,29.05,0,7.97,0,20.47,0.71,0,0,0,0,12.39,0,30.17,217.51,14.5,19.42
 96-106,0,0,1.43,0,49.28,2.12,0,46.94,1.28,10.56,76.7,322.01,0,38.36,56.74,1.92,9.04,0,0.59,0.71,1067.72,0,33.05,62.08,166.53,22.08,3.5,14.12,0,33.31,0.59,0,2.19,0,0,5.22,0,31.94,196.08,14.16,46.37
108-118,0,0,0,0.49,39.95,1.48,0.56,48.86,0,7.72,66.3,251.11,1.03,11.3,71.91,0.79,24.59,0,2.21,8.16,1017.81,3.08,22.82,48.59,180.14,15.57,1.8,12.3,0,45.21,1.99,0,0.58,0,0,7.8,2.24,23.67,181.34,13.38,66.69
120,0,0,0,0,36.07,9.93,0,34.55,0,8.09,91.72,298.42,0,36.4,75.52,1.28,24.78,0,3.79,0,877.76,0,54.42,68.86,153.47,25.57,0,7.57,0,23.05,1.24,0,0,0,0,4.7,1.27,36.45,224.7,8.01,8
