stage,epidermis,eye,glial,mesenchyme,neural,pronephros,spinal_cord
 14-21,0.85,0,0,0,0.86,0.84,1.99
 24-34,0,0,1.04,0,1.97,0,9.67
 36-46,0,0,0,0.66,3.8,0,1.5
 48-58,1.39,0,1.64,0,1.47,0,0
 72-82,0,0,0,0,1.38,0,0
 84-94,0,0,2.34,0,0,0,0
 96-106,0,1.18,0,0,0,0,0
108-118,0,0,0,0,0,1.86,0
120,0,0,7.84,0,0,0,0
