stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,16.86,0,0,0,0,1.14,6.49,0,0,0
 24-34,4.63,0,0,0,0,0,0,0,0,0,0,0,0,2.48,0,0,144.9,1.56,0,0,0,0,43.76,0,0,0
 36-46,0.85,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,454.14,0,0,0,0,0,87.57,0,0,0
 48-58,4.3,0,0,0.94,38.78,0,0.81,6.76,0,0,0,0,0,6.21,2.52,1.25,856.49,2.08,2.29,0,0,0,107.72,0,0,0.43
 60-70,1.74,0,0,0,199.82,0,0,2.1,0,0,0.6,0,0,0.71,0,0,1187.66,0,0,9.02,1.91,0,152.31,0,0,0
 72-82,2.82,0,0.91,0,198.09,0,3.72,11.32,1.97,0,0,0,3.17,13.18,0,0,1288.17,0,0,0,0,0,115.5,0,0,0
 84-94,5.53,0,3.48,0,138.29,0,0.77,10.47,0,0,0,0.69,0.57,8.47,0,0.75,858.57,0,0,1.22,0,0,85.87,0,1.91,0.97
 96-106,6.27,0,6.88,0,181.39,1.64,0,5.68,1.47,1.05,0,0,6.53,10.12,1.02,1.14,737.59,0,0.59,0,0,0,37.72,0,0,0
108-118,6.99,0,3.77,0,141.05,0,0,7.15,0,0.48,0,0,0,15.12,0,0.55,851.03,0.43,0.92,0,0,0,59.63,0.68,0,2.02
120,2.94,1.28,0,0,61.93,0,0,48.19,0,3.35,0,0,19.69,3.59,0,0,1172.93,0,0,0,0,0,42.47,0,0,7.52
