stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,16.46,54.29,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.53,0,0,0,0,8.01,0,0,0,0,0,0,0
  7-9,7.6,0,0,5.67,0,0,0,0,0,0,0,16.78,0,0,0,0,0,0,0,0,0,0,43.06,0,0,0,66.42,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.07,5.03,0,0,33.47,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.43,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,3.47,17.03,1.67,0,0,0,0,4.55,0,6.4,7.32,0,0,0
 24-34,0,0,0,0,1.82,0,2.21,0,0,0,0,0,0,0,0,0,0,0.98,25.95,0,0,2.02,61.37,0,1.96,0,0,1.68,0,0,0,23.07,0,8.85,0
 36-46,0,0,0,0,0,0,7.21,0,1.48,1.74,0,0,0,0,0,0,0,0,84.12,0,0,3.73,156.36,0,0,0,0,10.23,0,0,0,32.99,0,0,0
 48-58,0,0,0,0,0,0,22.43,0,4.22,5.22,0,0,0,0,0,0,0,0,264,0,4.24,31.58,151.05,0,0,0,0,0,0,0,0,18.25,0,0,0
 60-70,0,0,0,0,1.17,0,19.99,0,8.68,8.47,0,0,0.78,0,0,0,0,0,360.71,1.7,0,19.47,140.54,0,0,7.82,0,10.57,0,0,0,15.26,0,0,0
 72-82,0,0,0.76,0,2.56,0,36.67,0,16.78,0.52,0,0,0,0.62,0,0,0,0,406.93,0,3.75,23.78,60.95,2.7,0,0,0,5.23,0,0,0,6.72,1.44,1.36,4.19
 84-94,0,0,0,0,1.27,0,19.27,1.23,19.6,4.03,0.62,0,0,0.69,0,0,0,0,328.08,0,0,17.94,52.52,0,0,0,0,5.48,0,0,0,1.58,0,0.65,0
 96-106,0,0,0,0,1.09,0,11.73,0,2.93,0.82,1.38,0,0,1.25,0,0,0,0,254.96,0,0,20.15,52.99,0,0,1.86,0,12.01,0,0,0,1.16,0,0.87,0
108-118,0,0,0,0,2.16,0,21.1,0,21.46,10.13,0,0,0,0,1.1,1.01,0.69,0,259.83,0,0,8.14,50.06,0,1.43,0,0,6.16,0,0.67,0,6.25,0,0,0
120,0,0,0,0,7.74,1.95,7.76,0,25.88,4.66,0,0,0,0,2.99,0,0,0,255.8,0,0,25.39,69.14,0,0,0,0,2.04,0,0,0,13.5,1.84,0,0
