stage,axial,blastomeres,eye,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,spinal_cord
  3-4,0,27.87,0,0,0,0,0,0,0,0
  5-6,7.56,36.52,0,61.14,0,9.62,0,30.87,0,0
  7-9,3.68,0,0,3.41,0,16.36,3.24,28.98,0,0
 10-12,0,0,0,0,0,0,13.93,6.41,0,0
 14-21,0,0,0,0,0,1.05,0,0,2.46,0
 24-34,0,0,0,0,0,1.63,0,0,0,1.67
 48-58,0,0,0.58,0,0.76,1.21,0,0,0,0.44
 60-70,0,0,1.3,0,0,4.08,0,0,0,0
 72-82,0,0,0,0,1.3,0.82,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,0
