stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,25.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.98,0,0,0,0,0,0,0,30.2,8.99,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,40.93,0,0,4.48,0,0
 14-21,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.4,0,0.94,15.67,0,0,0,1.88,1.83
 36-46,0,0,0,2.1,0.68,0,0,0.9,0,12.82,0,0,0,1.11,0
 48-58,0,0,0,1.85,0,0.42,0,1.74,0,0.47,0,0,0,0,0
 60-70,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.88,0,2.17,0,0,0,0,0
 84-94,0,0,1.26,0.75,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,2.76,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,21.13,0,1.64,0,0,0
