stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,29.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.95,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,0,2.09,0,1.02,0,0,0,1.01,1.94,0,0,0,0,0,0,0,0.95,9.83,0,0,0,0,3.01,2.92,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0.9,0,0,1.38,56.22,0.83,5.14,1.32,1.81,0,27.31,0,0
 36-46,0,0,0,5.08,0,0,11.54,0,0,0,3.12,0,0,0,0,0.77,5.25,0,0,0.66,111.3,0,6.01,0,1.74,0,40.9,0,1.8
 48-58,0,0,0,2.3,2.22,0,32.25,0,3.19,0,5.35,0,0,0,0,0,3.34,0,0,1.03,214.03,0,0.74,4.79,1.59,0,42.19,0,0
 60-70,0,0,0,0,0,0,72.7,0,0,3.29,20.95,0,0,0,0,0,3.59,0,0,1.58,210.29,0,5.38,0,0,0,36.32,0,0
 72-82,0,0.68,0,2.19,0,0,99.73,0.57,0,0,5.85,0.72,0,0,3.11,0,12.93,0,0,0,261.6,0,1.21,3.59,0,0,32.67,0,0
 84-94,0,0,0,0.64,0,0,84.02,0,1.21,0,9.43,0,0,0,0,0,7.18,0,0.8,0,172.18,0,1.46,0,0,0,24.94,1.76,0
 96-106,0,0,0,1.22,5.55,0,97.43,0,0,1.02,4.57,0,0,0,0,0,23.76,0,0,0,179.39,0,4.84,1.02,0,0,14.16,0,0
108-118,0,0.57,0,3.03,0,1.82,48.54,0,0,0,3.18,1.11,0,0.53,0,0,3.19,0.43,2.59,0.68,212.96,0,0,0,1.3,0,14.86,0,0
120,0,0,0,8.01,0,0,41.98,0,0,0,34.95,0,1.24,0,0,0,4.09,0,0,1.54,252.77,0,0,0,3.06,0,37.88,0,0
